"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-17510.067066192627,"unknown",-17502.893424272537,-17497.400564670563,0.0,6.490267038345337,8.346220970153809,14.98649549484253,44.329418659210205,51.11958432197571,54.68364667892456,"unknown",60.157121896743774,"unknown",66.37143564224243,69.5741674900055,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.14529657363892,"unknown",82.65041136741638,85.59905242919922,"unknown",92.24882864952087,"unknown",98.2995855808258,100.01605892181396,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.67067360877991,"unknown","unknown",113.68597936630249
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-45684.451753139496,"unknown",-45677.3954436779,-45670.24353146553,0.0,6.2230544090271,61306.24273085594,61312.152861356735,61331.691506147385,61338.57155203819,61344.45054268837,"unknown","unknown",61351.22356462479,61356.4874920845,61359.1760904789,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61364.91250085831,"unknown",61371.36518025398,61397.53294301033,"unknown",61403.41931962967,"unknown",61409.826292037964,61427.91622042656,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61433.335708618164,"unknown","unknown",61439.126289367676
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-27972.395977258682,"unknown",-27965.691390752792,-27958.733829975128,0.0,5.885860443115234,9.082135438919067,14.815087795257568,30.490354776382446,36.40847992897034,55.46227955818176,"unknown",61.96381139755249,"unknown",69.25279998779297,71.05519485473633,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.07009553909302,"unknown",84.27518844604492,91.09526324272156,97.41641616821289,"unknown","unknown",103.23396372795105,104.91596364974976,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",110.58455991744995,"unknown","unknown",116.82178330421448
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-4775.687563419342,"unknown",-4769.053587198257,-4762.7870218753815,0.0,7.193859815597534,20.2174334526062,25.622021198272705,135.86161017417908,142.9800946712494,157.10640478134155,"unknown",163.46462416648865,"unknown",169.3961935043335,178.48308300971985,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",185.64281368255615,"unknown",192.55583357810974,213.26229071617126,"unknown",218.86161875724792,"unknown",225.87671279907227,237.87244081497192,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",244.2011661529541,"unknown","unknown",250.16065216064453
