"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",8.112327814102173,"unknown",39.37628197669983,"unknown",52.10455298423767,"unknown","unknown","unknown","unknown",67.91726732254028,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",93.50953531265259,"unknown","unknown","unknown","unknown",109.42284822463989,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",9.149786233901978,"unknown",31.662398099899292,"unknown",43.39010310173035,"unknown","unknown","unknown","unknown",59.08235955238342,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",78.49927306175232,"unknown","unknown","unknown","unknown",94.59795546531677,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6",-12993.672808885574,"unknown",-12987.67411661148,-12981.074623346329,0.0,5.767029523849487,9.334754943847656,16.497023820877075,46.37337923049927,53.08600854873657,73.2274489402771,"unknown","unknown",80.2337634563446,86.88300251960754,89.42622709274292,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.72385716438293,"","unknown",100.68109512329102,165.98949146270752,"unknown","unknown",171.684650182724,178.3735373020172,180.37502479553223,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",187.68210124969482,"unknown","unknown",193.80156254768372,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",25.412871599197388,"unknown",150.22906923294067,"unknown",162.07625126838684,"unknown","unknown","unknown","unknown",178.46670269966125,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",197.0847887992859,"unknown","unknown","unknown","unknown",366.1387462615967,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-192891.5996506214,"unknown",-192886.08976697922,-192879.0615310669,0.0,5.647292852401733,12.434606075286865,20.10078001022339,36.874478816986084,43.13924694061279,45.88685703277588,"unknown",51.78775072097778,"unknown",59.0250301361084,60.405906200408936,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",67.27199697494507,"","unknown",74.0773434638977,81.01300430297852,"unknown",86.20123314857483,"unknown",93.42581987380981,94.93704080581665,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.04165434837341,"unknown","unknown",107.95500493049622,""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",15.514289617538452,"unknown",31.930818557739258,"unknown",40.81556248664856,"unknown","unknown","unknown","unknown",55.91492462158203,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",72.24588561058044,"unknown","unknown","unknown","unknown",88.15583181381226,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",8.65185260772705,"unknown",28.322023391723633,"unknown",36.15382146835327,"unknown","unknown","unknown","unknown",66.16012597084045,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",80.71715354919434,"unknown","unknown","unknown","unknown",97.27807688713074,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"56ee475",-8124.153472185135,"unknown",-8117.0612325668335,-8110.08709526062,0.0,7.31930685043335,27.70377802848816,34.730021953582764,45.39099383354187,50.78849124908447,61.043604612350464,"unknown",66.91095876693726,"unknown",73.1402370929718,533.266063451767,540.3540344238281,566.5520083904266,573.8116190433502,"unknown","unknown",579.9907898902893,792.8172895908356,"unknown","unknown","unknown","unknown","unknown",798.3148694038391,"unknown",803.8797354698181,808.1047577857971,814.6726365089417,"unknown","unknown",821.5262367725372,823.0224051475525,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",828.2947144508362,"unknown","unknown",834.8627882003784,""
"916c172",-1668.5610468387604,"unknown",-1660.9899101257324,-1654.7857418060303,0.0,6.810815334320068,1122.0289533138275,1129.5222249031067,3788.13866686821,3794.137058019638,3809.5482244491577,3815.5175545215607,"unknown","unknown",3822.7732927799225,3825.6342623233795,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3832.6089713573456,"","unknown",3839.6065690517426,5257.810343980789,5264.415714025497,"unknown","unknown",5271.63347363472,5274.297795534134,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",5279.8729038238525,"unknown","unknown",5285.240982532501,""
"d9696dd",-83938.69601011276,"unknown",-83931.99746704102,-83924.69447875023,0.0,6.712602615356445,9.060323715209961,17.49077010154724,19.441128969192505,25.441136598587036,36.112309217453,"unknown","unknown",41.847718238830566,47.91340494155884,58.83072566986084,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.55229663848877,"","unknown",69.96205973625183,73.7053611278534,"unknown","unknown",79.53877186775208,86.61269330978394,91.73278212547302,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.07591009140015,"unknown","unknown",104.44501376152039,""
"eff7ebe",-2626.6197118759155,"unknown",-2621.21724653244,-2615.7042315006256,0.0,6.161090135574341,8.599734544754028,16.34380316734314,28.99464750289917,34.500564098358154,43.670774698257446,50.269668102264404,"unknown","unknown",56.42383098602295,58.83041453361511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.80135202407837,"","unknown",72.61096215248108,78.60528469085693,85.16615700721741,"unknown","unknown",92.3388500213623,93.7657880783081,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.80077314376831,"unknown","unknown",107.54459691047668,""
"5d4fcbe","unknown","unknown","unknown","unknown",0.0,"unknown",8.786234617233276,"unknown",33.98933386802673,"unknown",44.66041684150696,"unknown","unknown","unknown","unknown",57.742818117141724,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",72.91306257247925,"unknown","unknown","unknown","unknown",166.39030528068542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
