"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"c899adb",-16545.46484565735,"unknown",-16538.830651044846,-16532.49867105484,0.0,6.115222692489624,7.591262578964233,13.235059976577759,38.764771699905396,44.36579179763794,55.78545665740967,"unknown","unknown",61.610382080078125,67.84955430030823,71.91605615615845,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.69611072540283,"","unknown",85.12912225723267,119.50610065460205,"unknown","unknown",126.47787642478943,132.63545632362366,134.75494384765625,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",141.21245288848877,"unknown","unknown",146.72280311584473,""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-3091.802033662796,"unknown",-3085.1013894081116,-3078.5119354724884,0.0,6.972240924835205,13.287126541137695,19.812427043914795,40.866636991500854,47.49764585494995,51.5872745513916,"unknown","unknown",57.56952714920044,63.25375270843506,66.45055532455444,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.728679895401,"","unknown",79.36706614494324,87.79533219337463,95.67219352722168,"unknown","unknown",102.23074078559875,104.88358163833618,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.1029531955719,"unknown","unknown",118.44623136520386,""
"ea8c0d6",-130634.96428179741,"unknown",-130628.97010946274,-130622.1772043705,0.0,5.812044382095337,15.758822917938232,21.28301429748535,127.9379096031189,133.51855969429016,199.91847467422485,"unknown","unknown",206.28668117523193,213.307279586792,216.72047519683838,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",222.45531010627747,"","unknown",228.80709433555603,234.8173384666443,"unknown","unknown",240.6887640953064,247.6951813697815,346.9303448200226,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",354.00109124183655,"unknown","unknown",360.85713720321655,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1821404.6403491497,"unknown",-1821399.123632431,-1821393.3338859081,0.0,6.7427818775177,88.95451831817627,95.68862318992615,122.59214282035828,129.6337411403656,177.13984394073486,"unknown",183.30791306495667,"unknown",189.80919933319092,199.78078246116638,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",205.79072737693787,"","unknown",212.25869369506836,243.13732314109802,249.16495633125305,"unknown","unknown",255.43664360046387,257.55791878700256,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",263.33488273620605,"unknown","unknown",268.58479714393616,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-1216.712878227234,"unknown",-1210.047923564911,-1203.484489440918,0.0,6.723294973373413,8.4021475315094,13.743443250656128,15.094295024871826,20.637585401535034,29.81409001350403,"unknown",36.41795563697815,"unknown",42.249985218048096,65.09233689308167,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.7632794380188,"","unknown",78.37676620483398,82.89968299865723,"unknown","unknown",90.09620761871338,96.29683256149292,98.34215784072876,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.3025176525116,"unknown","unknown",111.01822018623352,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-484668.9091234207,"unknown",-484662.10040283203,-484654.9973528385,0.0,7.089811086654663,12.300221681594849,17.802533388137817,40.46977162361145,47.70884823799133,75.53027868270874,"unknown","unknown",81.8955647945404,88.91523265838623,91.05357670783997,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.93783760070801,"","unknown",102.93277192115784,107.00388312339783,"unknown",113.85232520103455,"unknown",120.95114922523499,125.03745555877686,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.16757798194885,"unknown","unknown",137.36118459701538,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-431495.9178619385,"unknown",-431489.84932112694,-431483.69002223015,0.0,6.31085205078125,21.5874080657959,28.987508058547974,37.545934438705444,44.67723202705383,55.75141906738281,"unknown","unknown",62.61283755302429,68.20190644264221,70.59404349327087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.28639245033264,"","unknown",82.83088779449463,90.4456717967987,96.63780331611633,"unknown","unknown",102.69461512565613,106.90791940689087,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.5413556098938,"unknown","unknown",119.4208550453186,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
