"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"c94e42e",-326.8630669116974,"unknown",-320.0360903739929,-314.61539936065674,0.0,7.17958402633667,13.305612802505493,19.116271495819092,31.389034748077393,38.49606275558472,56.41475033760071,"unknown","unknown",62.8183867931366,69.66780495643616,75.91226410865784,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.69789028167725,"unknown",88.48051118850708,91.76169037818909,"unknown","unknown",97.38594555854797,103.20393419265747,117.2160050868988,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",123.19748520851135,"unknown","unknown",130.03128957748413
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-1060.891857624054,"unknown",-1053.5689811706543,-1047.9458167552948,0.0,7.287509441375732,8.656565427780151,15.887440204620361,17.69160008430481,24.793257474899292,56.60323691368103,"unknown",62.82974290847778,"unknown",68.7278459072113,73.02932572364807,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.23916792869568,"unknown",83.82374501228333,92.69644713401794,"unknown",99.1588625907898,"unknown",105.48267841339111,106.73121881484985,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.18720960617065,"unknown","unknown",118.5588219165802
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-23.34071445465088,"unknown",-16.804598093032837,-10.291564702987671,0.0,5.909618139266968,8.669337511062622,15.332798719406128,28.683992385864258,35.300379276275635,37.90973734855652,44.11343693733215,"unknown","unknown",49.318517446517944,53.95029044151306,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.82717442512512,"unknown",66.71338152885437,69.87102198600769,76.94135928153992,"unknown","unknown",83.15859031677246,84.47370386123657,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.19557523727417,"unknown","unknown",97.76204085350037
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-23.607738256454468,"unknown",-16.53622794151306,-9.978177785873413,0.0,6.874870300292969,9.490212202072144,15.487278461456299,54.06249451637268,59.508567094802856,63.68169713020325,"unknown",69.73049473762512,"unknown",76.5085608959198,82.76358819007874,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",88.98880386352539,"unknown",95.44924783706665,125.87569379806519,"unknown",131.8885486125946,"unknown",138.46803522109985,157.1964225769043,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",163.2341296672821,"unknown","unknown",169.0858404636383
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
