"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","3_1","4_1"
"6c8906b",-953.6450800895691,"unknown",-946.4257974624634,-940.4025738239288,0.0,5.425415515899658,20.576219081878662,29.133665800094604,167.10953307151794,173.81179404258728,51456.16176199913,"unknown",51461.65516209602,"unknown",51467.352108716965,51469.66163778305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",51476.77540111542,"","unknown",51482.183411836624,51497.9382584095,51504.17514586449,"unknown","unknown",51511.199209451675,51514.40884685516,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",51520.599952459335,"unknown","unknown",51525.910669088364,"","","",""
"e51496b",-6617.954655170441,"unknown",-6612.5169994831085,-6605.497696876526,0.0,6.296672582626343,10.341558933258057,17.183242559432983,30.665419578552246,36.219741106033325,43.662524461746216,51.00660514831543,"unknown","unknown",58.206372022628784,60.13047504425049,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",66.5673086643219,"","unknown",73.58517456054688,82.01326060295105,"unknown",88.01173210144043,"unknown",94.10294461250305,96.1071264743805,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",102.17312622070312,"unknown","unknown",109.09086489677429,"","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a",-1212765.909431219,"unknown",-1212755.4032666683,-1212741.592607975,0.0,6.339608430862427,5973134.224563599,5973143.200352907,5973155.626054525,5973162.628386021,5973166.286783457,5973171.811167955,"unknown","unknown",5973177.337390423,5973181.569299459,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",5973188.337736607,"","unknown",5973194.178226471,5973201.917167425,"unknown",5973208.2818694115,"unknown",5973215.056273937,5973227.559489489,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",5973234.156521797,"unknown","unknown",5973240.194773674,"","","",""
"dae9b13",-1123851.1515574455,"unknown",-1123845.2461781502,-1123839.1175253391,0.0,5.660408020019531,10.835408687591553,19.056160926818848,42.8773090839386,49.39894199371338,55.198784589767456,62.31527280807495,"unknown","unknown",69.23272109031677,71.3259105682373,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.4905207157135,"","unknown",84.29979753494263,94.7386462688446,101.74703288078308,"unknown","unknown",108.34887099266052,110.33720827102661,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",116.73730087280273,"unknown","unknown",123.22400665283203,"","","",""
"6c3f0f6",-944673.9563231468,"unknown",-944667.9699840546,-944661.1194112301,0.0,5.371292352676392,10.159433364868164,17.628050088882446,39.0293824672699,44.367573976516724,56.26188373565674,"unknown","unknown",63.465315103530884,69.00307846069336,72.92258143424988,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.28641533851624,"","unknown",83.88319206237793,159.94779086112976,"unknown",167.2434961795807,"unknown",172.93111419677734,177.6642668247223,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",184.26618266105652,"unknown","unknown",191.4665813446045,"","","",""
"4828266",-348522.8836519718,"unknown",-348516.79063510895,-348510.37875914574,0.0,6.443707466125488,10.951468467712402,17.96838665008545,34.000981092453,41.143237829208374,51.700050354003906,"unknown",58.37172889709473,"unknown",65.5341522693634,69.72917461395264,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.79564619064331,"","unknown",83.5507390499115,101.75410962104797,108.60835981369019,"unknown","unknown",115.67954349517822,122.35348796844482,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",128.14873337745667,"unknown","unknown",134.42020535469055,"","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e",-6672.438059568405,"unknown",-6666.159866809845,-6659.131798028946,0.0,7.14858865737915,12.082838296890259,19.21369695663452,31.979294538497925,38.767210721969604,43.76989126205444,49.36989617347717,"unknown","unknown",55.36795091629028,57.923718214035034,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",65.15525555610657,"","unknown",71.44510054588318,85.27165102958679,91.5982871055603,"unknown","unknown",97.0936713218689,110.36696672439575,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",117.23099040985107,"unknown","unknown",122.62111520767212,"","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-75968.87798905373,"unknown",-75962.26427102089,-75955.85361146927,0.0,6.152059078216553,9.754695892333984,18.013320207595825,35.285627365112305,42.44249415397644,61.45417070388794,68.41892004013062,"unknown","unknown",76.41324472427368,79.31413245201111,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.33074045181274,"","unknown",91.63310074806213,106.86568927764893,113.93039321899414,"unknown","unknown",120.76785802841187,123.75459384918213,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",130.6750853061676,"unknown","unknown",137.94634413719177,"","","",""
"a300755",-97733.69425559044,"unknown",-97726.9830892086,-97721.6436226368,0.0,6.800328493118286,10.607698917388916,17.974100589752197,32.00222182273865,39.068095207214355,50.05643010139465,"unknown","unknown",56.54849338531494,63.22453498840332,65.32387471199036,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.36192536354065,"","unknown",78.46233415603638,108.95957517623901,"unknown",115.18010830879211,"unknown",120.70297598838806,122.55696296691895,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",129.64203071594238,"unknown","unknown",135.7711799144745,"","","",""
"802d704",-8212.825082302094,"unknown",-8205.734374523163,-8199.994785785675,0.0,6.3162243366241455,11.623624801635742,20.145182132720947,40.288299798965454,46.277965784072876,56.89460372924805,"unknown","unknown",62.80330681800842,69.06248021125793,71.21298098564148,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.80870175361633,"","unknown",84.00205636024475,98.3923647403717,105.66639852523804,"unknown","unknown",112.52889132499695,114.47583770751953,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",120.3689501285553,"unknown","unknown",126.65496397018433,"","","",""
"e892cd4",-1311481.6280608177,"unknown",-1311475.0738961697,-1311468.171233654,0.0,6.261516571044922,14.227115154266357,23.021543741226196,46.00756859779358,51.878843784332275,59.67359948158264,66.1217405796051,"unknown","unknown",71.9336326122284,73.70788216590881,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.1899824142456,"","unknown",86.75725388526917,96.30165219306946,102.50228595733643,"unknown","unknown",108.33283829689026,113.69209384918213,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",119.29265570640564,"unknown","unknown",125.68329334259033,"","","",""
"b06ee97",-44575.19379878044,"unknown",-44569.69334244728,-44563.60930848122,0.0,6.474613904953003,12.91445803642273,20.70639395713806,44.14432215690613,50.98598766326904,63306.73567199707,"unknown","unknown",63312.90808916092,63318.506187200546,63320.76763343811,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63327.639570236206,"","unknown",63334.35846161842,63344.00764322281,63351.10846209526,"unknown","unknown",63357.15729665756,63358.601154088974,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",63364.07563972473,"unknown","unknown",63371.33115887642,"","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-160.21083188056946,"unknown",-154.52131962776184,-147.85389065742493,0.0,5.671120882034302,88.12043642997742,95.48367643356323,431.2812645435333,436.6302614212036,471.1389434337616,"unknown",478.479487657547,"unknown",483.91951036453247,7860.591253995895,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",7867.601819992065,"","unknown",7873.644857883453,7899.439607381821,7906.557223081589,"unknown","unknown",7912.189578056335,7914.293322563171,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",7920.117646694183,"unknown","unknown",7926.2424857616425,"","","",""
"7bb45d3",-589.0661225318909,"unknown",-583.3108389377594,-577.5275278091431,0.0,7.217932224273682,11.519120693206787,20.817750453948975,36.058737993240356,43.224973917007446,52.038779973983765,"unknown","unknown",59.14858818054199,66.41684055328369,68.95264458656311,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.69177865982056,"","unknown",80.3080894947052,87.86614465713501,93.61344146728516,"unknown","unknown",100.67620348930359,102.44625234603882,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",109.41247296333313,"unknown","unknown",116.29551911354065,"","","",""
"7622483",-3146.152934074402,"unknown",-3139.670449733734,-3133.8750212192535,0.0,5.365026235580444,6.881372928619385,14.040918827056885,19.063730478286743,25.685139894485474,32.727572441101074,"unknown",39.53086185455322,"unknown",45.23133897781372,47.016634941101074,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",52.48919939994812,"","unknown",58.528038024902344,63.07421517372131,70.26089262962341,"unknown","unknown",76.75507235527039,102.60051488876343,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",108.48718762397766,"unknown","unknown",115.19755482673645,"","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-3033.2554326057434,"unknown",-3027.1085724830627,-3020.796647310257,0.0,6.572437047958374,18.79089617729187,27.23560905456543,42.978779315948486,48.27731132507324,76.12555718421936,"unknown","unknown",81.7692539691925,87.67933630943298,95.43230962753296,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",102.6091935634613,"","unknown",109.2806293964386,2830.782029390335,"unknown","unknown",2837.8799233436584,2843.444883584976,2845.780713558197,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",2851.2209343910217,"unknown","unknown",2858.298077106476,"","","",""
"07ff49d",-21529.645094633102,"unknown",-21523.19212460518,-21517.783668279648,0.0,6.305171012878418,10.413876295089722,18.243422508239746,39.61616826057434,45.90025877952576,54.09660363197327,61.35608148574829,"unknown","unknown",67.6154215335846,69.44298148155212,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.27955532073975,"","unknown",83.2457184791565,103.31447863578796,110.7320601940155,"unknown","unknown",117.87133955955505,144.00587058067322,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",149.4276044368744,"unknown","unknown",155.59647011756897,"","","",""
"22fdb61",-7107.821947813034,"unknown",-7100.745694875717,-7094.576549530029,0.0,6.02306056022644,11.09348177909851,19.148293018341064,276.39923214912415,283.3610725402832,290.0694468021393,"unknown",296.773854970932,"unknown",302.95465421676636,305.0014612674713,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",310.2452371120453,"","unknown",315.7364823818207,327.19441866874695,"unknown","unknown",332.87204670906067,339.659921169281,350.54869627952576,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",357.714955329895,"unknown","unknown",364.65743827819824,"","","",""
"db046f2",-3896840.7279999256,"unknown",-3896835.15258646,-3896829.606827736,0.0,7.0522987842559814,19.33039951324463,26.959257125854492,44.060800313949585,49.73247694969177,59.62304472923279,66.5047550201416,"unknown","unknown",73.73043894767761,76.03668522834778,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.24028301239014,"","unknown",88.73143339157104,107.59218144416809,114.08483958244324,"unknown","unknown",121.12764310836792,123.22878932952881,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",129.58989453315735,"unknown","unknown",135.9686906337738,-1991621.7512996197,"","",""
"73c3f48",-196148.62757992744,"unknown",-196143.22669935226,-196136.21958875656,0.0,7.114606618881226,12.269885540008545,20.177547931671143,32.56943988800049,38.406306982040405,89.49700140953064,"unknown",96.40832853317261,"unknown",102.09968137741089,104.64563918113708,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.23098421096802,"","unknown",116.71483969688416,122.52332615852356,128.51206588745117,"unknown","unknown",134.2905342578888,145.97555255889893,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",152.7926824092865,"unknown","unknown",158.6787190437317,"","","",""
"3218556",-180021.78158068657,"unknown",-180015.94293379784,-180009.14440727234,0.0,7.310224294662476,11.450418710708618,19.13937520980835,37.18957448005676,42.71717858314514,63.40726184844971,"unknown",71.44252490997314,"unknown",78.33653593063354,80.93148303031921,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.15653085708618,"","unknown",93.99832057952881,100.6161801815033,105.90183138847351,"unknown","unknown",111.71380686759949,113.0190064907074,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",118.35927653312683,"unknown","unknown",125.3254451751709,"","","",""
"99ee852",-14920.056882619858,"unknown",-14913.324383497238,-14906.46977519989,0.0,6.006469011306763,10.298936367034912,17.311782836914062,48.097222328186035,54.20122170448303,67.07085704803467,"unknown",74.26564311981201,"unknown",81.06497168540955,83.83077049255371,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.80705451965332,"","unknown",95.28648352622986,115.12066340446472,"unknown",121.13747096061707,"unknown",127.86113834381104,136.31046271324158,142.79262113571167,149.10138607025146,154.97364139556885,"unknown","unknown",160.68376326560974,162.76648807525635,"unknown","","unknown","unknown","unknown","unknown",168.76714277267456,"unknown",175.20934772491455,"","","",""
"ad2fc5b",-245354.96066951752,"unknown",-245348.90579485893,-245342.2502706051,0.0,6.874622583389282,22.585142850875854,31.15509033203125,46.74588704109192,52.56850719451904,92.6155571937561,"unknown","unknown",98.31705570220947,105.31541609764099,107.8629252910614,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.3319022655487,"","unknown",120.24674129486084,133.85477876663208,"unknown",141.20456290245056,"unknown",147.64038109779358,149.88950777053833,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",155.71396470069885,"unknown","unknown",161.4487180709839,"","","",""
"d318264",-50533.636478185654,"unknown",-50527.81794953346,-50520.98927760124,0.0,7.222684860229492,19.191578149795532,27.382710456848145,71.21216225624084,77.05754542350769,116.96561694145203,123.65947413444519,"unknown","unknown",129.08888268470764,147.27723670005798,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",153.3380045890808,"","unknown",158.63632583618164,229.76118230819702,236.875412940979,"unknown","unknown",242.85768818855286,245.30219769477844,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",250.83916115760803,"unknown","unknown",257.5370011329651,"","","",""
"741ef32",-558.4486413002014,"unknown",-552.102459192276,-545.0200600624084,0.0,7.243974924087524,13.067572355270386,20.037559032440186,48.310588121414185,54.55031681060791,62.006078004837036,67.56673240661621,"unknown","unknown",74.48297810554504,76.51605558395386,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.62917304039001,"","unknown",89.7546660900116,98.04640650749207,"unknown","unknown",104.64900779724121,111.65653347969055,114.22758316993713,120.17890667915344,129.6730091571808,135.3663194179535,"unknown","unknown",141.19436049461365,142.85266423225403,"unknown","","unknown","unknown","unknown","unknown",148.42864775657654,"unknown",155.3589723110199,"","","",""
"b75259d",-1464542.9339096546,"unknown",-1464359.655399084,-1464178.6873221397,0.0,7.266735792160034,18.87521243095398,27.135222673416138,44.880234241485596,52.16733503341675,65.19046258926392,"unknown","unknown",70.86005210876465,77.95459699630737,85.6023633480072,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.17265439033508,"","unknown",98.01825261116028,122.16396260261536,128.7349672317505,"unknown","unknown",134.9202916622162,138.00246405601501,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",143.41088151931763,"unknown","unknown",149.80971312522888,"","","",""
"b67425b",-223552.024143219,"unknown",-223545.94965410233,-223539.3478667736,0.0,7.3613011837005615,9.902347087860107,17.137176275253296,24.585763216018677,31.508203983306885,34.273181676864624,40.282660484313965,"unknown","unknown",46.176525592803955,47.81963324546814,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.878382444381714,"","unknown",60.917601108551025,66.79517197608948,73.39417552947998,"unknown","unknown",80.62361693382263,84.78128957748413,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",91.87698149681091,"unknown","unknown",98.71839165687561,"","","",""
"446ad6c",-7128.059667348862,"unknown",-7121.598464727402,-7114.681062221527,0.0,5.54169225692749,11.102915287017822,19.752043962478638,43.19981360435486,50.112056255340576,74.1264283657074,80.68538975715637,"unknown","unknown",86.70982122421265,90.04508852958679,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.8554859161377,"","unknown",101.86942291259766,107.90362429618835,113.3198778629303,"unknown","unknown",120.69043898582458,123.23032522201538,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",130.41004180908203,"unknown","unknown",136.06636214256287,"","","",""
"70405ea",-74069.58851909637,"unknown",-74063.66118979454,-74056.91479730606,0.0,6.74689793586731,17.146328687667847,25.73791790008545,79.33179712295532,85.04294037818909,104.11500191688538,"unknown",111.25480318069458,"unknown",118.41134762763977,122.67227125167847,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.68126034736633,"","unknown",136.48471879959106,169.9392704963684,176.08916425704956,"unknown","unknown",182.774560213089,185.51597619056702,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",190.89914059638977,"unknown","unknown",197.54507327079773,"","","",""
"1117a63",-473.5674090385437,"unknown",-466.22790360450745,-459.52808451652527,0.0,5.791290998458862,9.336387634277344,18.018460035324097,33.34730625152588,39.75686311721802,54.12595725059509,"unknown","unknown",60.70178961753845,66.82655382156372,69.53691482543945,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.52576494216919,"","unknown",82.49205493927002,114.2059211730957,"unknown","unknown",120.76110553741455,127.45514178276062,129.4018952846527,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",136.62827372550964,"unknown","unknown",143.2492573261261,"","","",""
"537189f",-1048.9188103675842,"unknown",-1042.5253615379333,-1036.2818496227264,0.0,5.534572124481201,14.085747241973877,21.08597755432129,41.37287425994873,47.320592641830444,63.495322704315186,"unknown","unknown",70.17559671401978,76.58463501930237,79.89282298088074,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.18746280670166,"","unknown",92.82135081291199,105.9124162197113,"unknown","unknown",113.13038611412048,120.01452541351318,121.76110935211182,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",128.2015242576599,"unknown","unknown",134.2912003993988,"","","",""
"17b5a6e",-335628.34976935387,"unknown",-335622.8699221611,-335615.9138855934,0.0,6.876709222793579,15.897494554519653,23.16158938407898,105.78032159805298,111.48702549934387,114.40484714508057,120.1013560295105,"unknown","unknown",127.10936665534973,128.63013172149658,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",134.02938318252563,"","unknown",139.6549141407013,146.51293540000916,152.9876561164856,"unknown","unknown",158.6615538597107,160.5529341697693,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",167.34706258773804,"unknown","unknown",172.67637038230896,"","","",""
"d3e37eb",-19203.15600657463,"unknown",-19196.464579820633,-19189.974822044373,0.0,6.855886936187744,8.998042345046997,16.948755025863647,32.2061185836792,37.80377721786499,58.2096734046936,"unknown","unknown",64.761634349823,71.39558553695679,73.25259494781494,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.46045064926147,"","unknown",86.14913868904114,93.97294020652771,100.2317852973938,"unknown","unknown",106.9294741153717,108.89538311958313,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",115.984699010849,"unknown","unknown",123.20504570007324,"","","",""
"2ee7f92",-25950.007216215134,"unknown",-25944.507289886475,-25938.32320356369,0.0,6.943127870559692,11.863304853439331,20.578330039978027,34.19233250617981,41.027801752090454,48.31295442581177,55.77385377883911,"unknown","unknown",61.1550989151001,75.50818681716919,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.59664011001587,"","unknown",87.11087989807129,91.96184635162354,98.44764685630798,"unknown","unknown",104.90609550476074,108.60225224494934,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",115.63850998878479,"unknown","unknown",121.24755358695984,"","","",""
"89d63ed",-474.50005316734314,"unknown",-468.9804313182831,-462.2836422920227,0.0,5.756390571594238,8.33655595779419,16.63080620765686,22.7837553024292,28.96040153503418,38.211365699768066,43.52156734466553,"unknown","unknown",50.088297605514526,52.774298906326294,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.4714081287384,"","unknown",63.948726177215576,71.03223633766174,"unknown",76.4957947731018,"unknown",81.99091506004333,83.97874522209167,90.929354429245,93.60411763191223,"unknown","unknown",100.64790177345276,107.39178371429443,109.77746725082397,"unknown","","unknown","unknown","unknown","unknown",115.61118841171265,"unknown",122.7561194896698,"","","",""
"c0a644e",-77.73280215263367,"unknown",-71.73699831962585,-64.61972188949585,0.0,5.427626848220825,10.597794771194458,18.262001276016235,34.40808653831482,40.66045951843262,84.66166090965271,92.00560188293457,"unknown","unknown",98.3981580734253,101.08151078224182,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.70352053642273,"","unknown",113.0912139415741,120.91972994804382,127.74131870269775,"unknown","unknown",133.32329392433167,136.20118737220764,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",143.2367343902588,"unknown","unknown",148.8327193260193,"","","",""
"80f558b",-4260.914701700211,"unknown",-4254.28945183754,-4247.0457010269165,0.0,7.46996283531189,12.792020082473755,20.595882654190063,37.23571062088013,43.828837156295776,59.150986671447754,"unknown","unknown",64.90005874633789,72.09686708450317,74.39619946479797,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.20687675476074,"","unknown",87.34907293319702,102.71678686141968,"unknown",109.01845479011536,"unknown",114.61061382293701,118.81380653381348,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",125.3191864490509,"unknown","unknown",132.25302982330322,"","","",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18",-3327.3617630004883,"unknown",-3321.5011060237885,-3315.2786707878113,0.0,7.142972946166992,16.094849109649658,24.040621757507324,84.38248610496521,91.49247169494629,95.03795766830444,102.30164694786072,"unknown","unknown",107.86268663406372,113.06839942932129,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.10506820678711,"","unknown",126.48604917526245,135.44261026382446,142.4138593673706,"unknown","unknown",148.1018500328064,150.03263974189758,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",156.539226770401,"unknown","unknown",163.6409080028534,"","","",""
"0186834",-2108.372761964798,"unknown",-2102.040107488632,-2095.373707294464,0.0,5.407776355743408,10.468981504440308,18.345015048980713,39.284626722335815,46.61058855056763,60.83066010475159,66.47981858253479,"unknown","unknown",73.277663230896,74.8440477848053,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.6442506313324,"","unknown",88.78600978851318,96.45319652557373,103.26010346412659,"unknown","unknown",109.68254041671753,111.3786735534668,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",117.37325048446655,"unknown","unknown",123.30277824401855,"","","",""
"0355f6d",-120927.09464788437,"unknown",-120921.13253927231,-120914.81941080093,0.0,6.4436869621276855,12.320980072021484,19.021982669830322,48.01087045669556,54.89741921424866,64.77173900604248,"unknown",71.15703582763672,"unknown",77.04018950462341,79.99130892753601,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.22500228881836,"","unknown",91.08720707893372,108.90988397598267,"unknown",115.46067214012146,"unknown",122.49685263633728,125.54435443878174,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",131.36040782928467,"unknown","unknown",137.89437198638916,"","","",""
"fa6a8b8",-11942.480504512787,"unknown",-11935.724568843842,-11928.43890094757,0.0,6.982299089431763,11.087599515914917,18.235529899597168,30.815245866775513,37.02036905288696,39.48912239074707,45.616074562072754,"unknown","unknown",52.60576891899109,54.241989612579346,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.22189807891846,"","unknown",67.22439908981323,70.12320971488953,75.84292101860046,"unknown","unknown",82.921067237854,84.13019919395447,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",90.34694600105286,"unknown","unknown",96.06956195831299,"","","",""
"44167d5",-161925.91271400452,"unknown",-161918.87243700027,-161911.59257030487,0.0,6.293755531311035,13.897279739379883,21.920372486114502,39.18401527404785,44.86058497428894,51.795949935913086,57.406370878219604,"unknown","unknown",62.74281120300293,64.60240054130554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",71.78686165809631,"","unknown",77.51815795898438,82.87042212486267,88.57193732261658,"unknown","unknown",94.2101743221283,95.69804453849792,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",102.13099122047424,"unknown","unknown",108.43222737312317,-50968.977540016174,"","",""
"145d339",-10359.779595851898,"unknown",-10352.782738924026,-10347.223546981812,0.0,5.904073476791382,8.798414707183838,16.401753902435303,36.044827938079834,42.5631787776947,50.2913703918457,"unknown",56.35869073867798,"unknown",63.45016312599182,65.47231793403625,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",72.09445571899414,"","unknown",78.2356128692627,118.19090747833252,"unknown",124.65500211715698,"unknown",131.99911093711853,133.77028632164001,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",139.18478393554688,"unknown","unknown",145.18979692459106,"","","",""
"e96f42c",-2787.6856548786163,"unknown",-2781.5140540599823,-2775.190543651581,0.0,6.146348476409912,9.43378210067749,17.53588056564331,32.562973976135254,38.615474462509155,42.61746621131897,"unknown","unknown",48.87679409980774,54.684404373168945,56.91574501991272,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.17368602752686,"","unknown",70.89471340179443,78.24461317062378,"unknown","unknown",86.29404139518738,93.41597437858582,96.63147044181824,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",103.04875135421753,"unknown","unknown",108.73981237411499,"","","",""
