"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","otro_3","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","2_2","3_1","4_1"
"ac6ecda","unknown","unknown","unknown","unknown",0.0,"unknown",8.953306198120117,"unknown",30.92947506904602,"unknown",63.74694561958313,"unknown","unknown","unknown","unknown",77.40372228622437,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",96.35814762115479,"unknown","unknown","unknown","unknown",111.7878475189209,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",16.396491765975952,"unknown",66.25741457939148,"unknown",84.11535787582397,"unknown","unknown","unknown","unknown",99.29285264015198,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",136.90701127052307,"unknown","unknown","unknown","unknown",152.08166599273682,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b8ec123",-4880570.529485464,"unknown",-4880563.884088755,-4880557.18317318,0.0,6.8399412631988525,12.23830509185791,20.72716522216797,34.40084743499756,41.42468738555908,58.21382474899292,"unknown",65.07177186012268,"unknown",71.86229729652405,87.50389528274536,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.13283038139343,"","unknown",100.24038076400757,108.25436353683472,113.88858795166016,"unknown","unknown",119.2065978050232,120.76736235618591,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",127.70942711830139,"unknown","unknown",133.5892915725708,-2912005.709713936,"","",""
"07b298c",-1633118.9283776283,"unknown",-1633113.4037384987,-1633107.1272211075,0.0,7.257778882980347,14.457856893539429,21.401813983917236,51.59960126876831,57.26605939865112,74.17674160003662,"unknown",80.86137437820435,"unknown",86.50142502784729,89.85325908660889,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.18585228919983,"","unknown",102.45040774345398,121.39749813079834,"unknown",127.81742525100708,"unknown",134.77394676208496,143.8403673171997,150.6877748966217,166.6386616230011,"unknown","unknown",172.789733171463,179.2880504131317,188.76906061172485,195.19250512123108,197.95878219604492,203.99296951293945,"unknown","unknown","unknown","unknown",210.05673241615295,216.258540391922,"","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",1299.2656807899475,"unknown",2389.6979761123657,"unknown",2406.106015920639,"unknown","unknown","unknown","unknown",2421.830022573471,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",2441.8141210079193,"unknown","unknown","unknown","unknown",2457.1823592185974,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",26.62688446044922,"unknown",79.89199829101562,"unknown",445.58817744255066,"unknown","unknown","unknown","unknown",472.53519892692566,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",625.800966501236,"unknown","unknown","unknown","unknown",641.8405110836029,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"527d11d",-127002.98427438736,"unknown",-126996.37577843666,-126990.9747915268,0.0,5.996989011764526,9.856491327285767,18.002370357513428,30.61252188682556,36.13086652755737,45.21415734291077,"unknown","unknown",50.467119216918945,56.667064905166626,58.69636416435242,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.56767249107361,"","unknown",70.46920847892761,82.26144599914551,"unknown","unknown",88.05816507339478,94.95664048194885,97.13940358161926,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",102.7036542892456,"unknown","unknown",108.68580389022827,"","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",124.35475540161133,"unknown",22701.445621967316,"unknown",22720.302728414536,"unknown","unknown","unknown","unknown",22737.362823724747,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",22774.6286611557,"unknown","unknown","unknown","unknown",22797.96796822548,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"41f497c",-20415.81595134735,"unknown",-20408.69415783882,-20401.36991739273,0.0,6.389874219894409,11.87903618812561,20.298742532730103,41.338616132736206,46.89098620414734,64.41176319122314,70.53078269958496,"unknown","unknown",75.98125505447388,79.05621528625488,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.2851836681366,"","unknown",90.98596787452698,99.49399375915527,106.7365608215332,"unknown","unknown",112.30830097198486,113.92228889465332,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",120.93821787834167,"unknown","unknown",127.83984208106995,"","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","unknown","unknown","unknown","unknown",0.0,"unknown",8.644989490509033,"unknown",22.485340118408203,"unknown",31.963457345962524,"unknown","unknown","unknown","unknown",72.87367272377014,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",89.3521556854248,"unknown","unknown","unknown","unknown",103.28419184684753,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"68c3192","unknown","unknown","unknown","unknown",0.0,"unknown",10.768629312515259,"unknown",38.38344430923462,"unknown",51.673678398132324,"unknown","unknown","unknown","unknown",70.10254883766174,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",88.45272660255432,"unknown","unknown","unknown","unknown",104.03067016601562,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"eb77de6","unknown","unknown","unknown","unknown",0.0,"unknown",17.9715096950531,"unknown",44.797890186309814,"unknown",57.1293420791626,"unknown","unknown","unknown","unknown",72.02075433731079,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",25122.441517591476,"unknown","unknown","unknown","unknown",25138.509793519974,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"1288ac2",-601878.5406637192,"unknown",-59048.8739862442,-58864.854935884476,0.0,7.254465818405151,14.150568723678589,22.193520069122314,35.49126839637756,42.09618425369263,52.50977611541748,59.65196132659912,"unknown","unknown",66.1911633014679,68.541020154953,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.05928111076355,"","unknown",81.36055040359497,89.5300281047821,96.29413962364197,"unknown","unknown",101.66505455970764,464.9059364795685,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",472.0090374946594,"unknown","unknown",477.9352939128876,"","","",""
"8ce483d","unknown","unknown","unknown","unknown",0.0,"unknown",10.385855197906494,"unknown",27.62626886367798,"unknown",46.381112813949585,"unknown","unknown","unknown","unknown",60.954078674316406,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",293.52183651924133,"unknown","unknown","unknown","unknown",309.6738295555115,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
