"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","7_otro_1"
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-5921.266936302185,"unknown",-5915.38876414299,-5909.8138546943665,0.0,8.003486156463623,10.975132703781128,17.81476068496704,34.986096143722534,41.24031591415405,44.57657241821289,"unknown","unknown",51.18194651603699,57.154948234558105,59.46343374252319,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.93547034263611,"","unknown",70.37059950828552,80.50899457931519,"unknown",86.95390486717224,"unknown",92.40622162818909,94.61308932304382,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.67469596862793,"unknown","unknown",107.7128038406372,"",""
"ea8c0d6",-92160.86438465118,"unknown",-92153.93434762955,-92146.88988614082,0.0,7.264201641082764,9.762508869171143,15.66640830039978,64.76250195503235,71.84314823150635,79.35396814346313,"unknown","unknown",85.66926336288452,91.55590605735779,94.96846890449524,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.59980964660645,"","unknown",106.94290947914124,117.05191683769226,"unknown","unknown",122.60086607933044,128.54015922546387,130.56845998764038,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.56674480438232,"unknown","unknown",144.58569812774658,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-73.16281914710999,"unknown",-67.45175695419312,-61.13466024398804,0.0,5.730727195739746,11834.299667596817,11840.983175754547,12205.097023248672,12211.019227027893,12227.228379964828,12233.643354177475,"unknown","unknown",12240.589966773987,12383.206635951996,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",12389.410449028015,"","unknown",12395.944042682648,12475.257287979126,12482.310774564743,"unknown","unknown",12490.020359039307,12495.297524929047,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",12501.061890602112,"unknown","unknown",12506.695495843887,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
