"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-22424.36193227768,"unknown",-22417.23547911644,-22410.13012623787,0.0,6.9827258586883545,9.940868139266968,18.0637104511261,31.84402370452881,38.15806221961975,40.9688823223114,"unknown",46.91692852973938,"unknown",53.34233617782593,55.100706577301025,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.45026516914368,"unknown",67.18135166168213,70.62802863121033,"unknown",76.30841064453125,"unknown",82.43493556976318,87.16656994819641,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.58766555786133,"unknown","unknown",98.99600577354431,""
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-26762.498411893845,"unknown",-26755.99327158928,-26750.07437801361,0.0,5.737253665924072,10.588758707046509,18.212134838104248,31.555525541305542,37.692590951919556,61.07090950012207,"unknown","unknown",67.67048811912537,74.05091881752014,76.60231828689575,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.20651173591614,"unknown",89.47552013397217,110.46779823303223,"unknown","unknown",118.77679538726807,124.27278017997742,125.98154282569885,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.61421298980713,"unknown","unknown",138.77712535858154,-618.2093152999878
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-33420.04853129387,"unknown",-33413.784964323044,-33406.97917318344,0.0,5.917434930801392,9.467093467712402,16.810243129730225,27.965234756469727,34.02652645111084,37.51239228248596,"unknown","unknown",45.46399736404419,52.08364677429199,54.62874507904053,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.606359004974365,"unknown",67.54842853546143,70.53228330612183,"unknown",77.73187923431396,"unknown",84.63679814338684,86.0250129699707,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.98321342468262,"unknown","unknown",98.26899647712708,""
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-7631.688410043716,"unknown",-7625.526216506958,-7618.736222982407,0.0,6.35250997543335,10.398929357528687,17.769444465637207,46.507994174957275,53.34414744377136,57.385363817214966,"unknown","unknown",63.5899875164032,70.54433465003967,72.23764634132385,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.83998394012451,"unknown",84.36259508132935,88.01479649543762,"unknown",94.18127918243408,"unknown",99.80301856994629,101.62779188156128,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.13075947761536,"unknown","unknown",115.13732624053955,""
