"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"07b298c",-15678.192369222641,"unknown",-15671.901653766632,-15665.84245967865,0.0,5.667341947555542,15.871126413345337,24.182941198349,50.035868406295776,56.71772074699402,58.95902061462402,64.21881914138794,"unknown","unknown",70.8266863822937,75.49647736549377,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.04305934906006,"","unknown",86.83290505409241,116.69686651229858,122.51854157447815,"unknown","unknown",129.0119194984436,130.7473874092102,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.12406849861145,"unknown","unknown",142.55509400367737,""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",10.778060913085938,"unknown",36.81069040298462,"unknown",52.494285106658936,"unknown","unknown","unknown","unknown",68.46068835258484,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",101.45403957366943,"unknown","unknown","unknown","unknown",117.43662238121033,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",16.826642751693726,"unknown",54.75559997558594,"unknown",66.9140636920929,"unknown","unknown","unknown","unknown",86.29472017288208,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",109.67919778823853,"unknown","unknown","unknown","unknown",134.00728464126587,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",93.0544581413269,"unknown",148.22250056266785,"unknown",158.46105575561523,"unknown","unknown","unknown","unknown",221.7954158782959,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",239.40051865577698,"unknown","unknown","unknown","unknown",277.7149257659912,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"41f497c",-12055.351420640945,"unknown",-12049.606481552124,-12042.993394851685,0.0,6.915884017944336,11.109994649887085,19.193888664245605,35.449684619903564,42.33046531677246,49.33920073509216,"unknown",55.95299220085144,"unknown",62.04422116279602,63.7869975566864,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.15910577774048,"","unknown",76.17313981056213,90.01310181617737,"unknown",96.61048102378845,"unknown",102.26853346824646,104.89192247390747,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.7546055316925,"unknown","unknown",117.58994841575623,""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","unknown","unknown","unknown","unknown",0.0,"unknown",8.532715559005737,"unknown",26.86743402481079,"unknown",38.30830383300781,"unknown","unknown","unknown","unknown",56.611419439315796,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",123.00340175628662,"unknown","unknown","unknown","unknown",138.03610396385193,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
