"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-1082.8298344612122,-1076.8519344329834,-1070.3035066127777,-1063.689813375473,0.0,5.847153663635254,10.136929750442505,16.53225827217102,53.6248517036438,59.304620027542114,69.54457831382751,"unknown","unknown",75.3543815612793,81.75183939933777,83.69207239151001,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.1465072631836,"unknown",95.7150387763977,99.76424789428711,105.58337306976318,"unknown","unknown",112.37350583076477,114.7233190536499,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.61017107963562,"unknown","unknown",125.86319041252136,""
"ea8c0d6",-2203884.947624922,-2203878.103741646,-2203872.514539242,-2203867.178262949,0.0,5.970332622528076,8.480892181396484,15.15513277053833,26.14816641807556,32.15262794494629,35.69587540626526,"unknown","unknown",42.6131591796875,48.74598550796509,51.02784490585327,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",57.88249969482422,"unknown",64.57617449760437,76.30097103118896,82.6140775680542,"unknown","unknown",89.59099268913269,91.45491170883179,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",98.27135753631592,"unknown","unknown",104.77413129806519,-1143795.6880319118
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1285.4872653484344,-1279.379299402237,-1273.177585363388,-1266.4843974113464,0.0,5.9764769077301025,18.556913137435913,25.83378767967224,72.58095908164978,78.93597626686096,82.2505533695221,87.5368914604187,"unknown","unknown",93.04042387008667,107.99873375892639,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.21290946006775,"unknown",122.3203706741333,127.15990853309631,133.08661127090454,"unknown","unknown",138.51385021209717,141.06383633613586,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.87769556045532,"unknown","unknown",153.30156183242798,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-765.4177865982056,-759.310348033905,-752.9987232685089,-747.6999092102051,0.0,7.209912538528442,8.64778184890747,15.735844612121582,17.15982675552368,22.535777807235718,31.49115753173828,36.76525640487671,"unknown","unknown",42.26774501800537,47.62492775917053,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.11414957046509,"unknown",60.885152101516724,69.23582077026367,74.6491231918335,"unknown","unknown",81.83094239234924,88.08567953109741,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.65278744697571,"unknown","unknown",101.58819627761841,""
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-52094.70798397064,-52088.18593788147,-52082.52007198334,-52075.61802697182,0.0,5.613294363021851,17.323054552078247,23.494518280029297,36.35238695144653,43.4061062335968,125856.54378080368,125863.23266649246,"unknown","unknown",125870.27221941948,125871.61674952507,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",125876.86786937714,"unknown",125883.96926856041,125886.86417341232,125893.38181471825,"unknown","unknown",125898.87760567665,125901.70266842842,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",125908.7805492878,"unknown","unknown",125914.17772507668,""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-2475.4102704524994,-2469.6650030612946,-2463.358493089676,-2457.151547193527,0.0,5.977962017059326,8.005671501159668,14.290608406066895,17.18545174598694,24.000280380249023,29.34937071800232,34.72607636451721,"unknown","unknown",40.5343861579895,49.33115196228027,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.27838373184204,"unknown",62.49236822128296,215.70570588111877,221.59275341033936,"unknown","unknown",227.82367062568665,312.68851351737976,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",319.0051362514496,"unknown","unknown",325.4226198196411,""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-40.82927966117859,-34.11299228668213,-28.012614488601685,-21.30060601234436,0.0,6.299274682998657,9.613949298858643,15.006919145584106,22.18036127090454,29.12689757347107,32.72383403778076,"unknown","unknown",38.32478141784668,45.6380672454834,47.303762674331665,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",54.15662121772766,"unknown",60.53758764266968,63.95050644874573,"unknown","unknown",70.76068902015686,76.04775977134705,79.41091847419739,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.20632886886597,"unknown","unknown",92.64912152290344,""
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-50813.825620651245,-50808.18609404564,-50801.659871816635,-50795.345988988876,0.0,6.9431986808776855,14.718306303024292,23.016347885131836,30.520448207855225,36.77982425689697,44.07944107055664,"unknown",51.26543474197388,"unknown",58.27053093910217,71.22410917282104,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",77.72666907310486,"unknown",83.86903190612793,131.94016551971436,"unknown",138.49767303466797,"unknown",145.38406538963318,147.61945343017578,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",154.7949025630951,"unknown","unknown",161.30262565612793,""
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81",-87592.78503346443,-87586.24114489555,-87579.82000350952,-87574.4868016243,0.0,6.063258647918701,7.893651962280273,14.59639835357666,22.031423568725586,28.252204179763794,30.8257737159729,"unknown","unknown",36.237733125686646,42.743086099624634,45.051010608673096,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",50.39964747428894,"unknown",56.81642007827759,60.21514320373535,"unknown","unknown",66.7388334274292,72.94814085960388,75.17308616638184,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.58537483215332,"unknown","unknown",88.09421420097351,""
