"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","4_1"
"c899adb",-17361.46019768715,"unknown",-17355.368915319443,-17348.243377685547,0.0,6.137988567352295,10.481760025024414,16.114882469177246,33.879279136657715,40.1032874584198,65.8825933933258,"unknown",71.52876353263855,"unknown",76.9153323173523,79.30142831802368,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.61321830749512,"","unknown",90.87073755264282,108.30599403381348,"unknown",114.39086413383484,"unknown",120.8982605934143,123.7312970161438,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",130.83902788162231,"unknown","unknown",136.45316576957703,"",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-7037.758434295654,"unknown",-7030.862744569778,-7023.589392662048,0.0,5.94500732421875,9.839200735092163,16.906881093978882,27.90186047554016,35.24031853675842,52.299676179885864,"unknown",58.63070559501648,"unknown",64.0214331150055,70.04023027420044,76.27748107910156,85.24434328079224,"unknown","unknown",92.56340169906616,98.30213451385498,101.03205633163452,"unknown","unknown","unknown","unknown","unknown",108.24595403671265,"unknown",114.62672805786133,148.79749512672424,154.45475578308105,"unknown","unknown",160.14874243736267,164.08422708511353,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",170.54608178138733,"unknown","unknown",176.9705069065094,"",""
"ea8c0d6",-166647.69699835777,"unknown",-166640.7829260826,-166634.01700496674,0.0,6.912368059158325,9.355285167694092,15.929723501205444,31.2746798992157,38.398574113845825,95.70101261138916,"unknown","unknown",102.89376258850098,109.74873208999634,112.56909441947937,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.61662292480469,"","unknown",125.007807970047,144.97763109207153,"unknown",151.47187733650208,"unknown",158.41461086273193,162.40197730064392,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",168.0858371257782,"unknown","unknown",175.12924528121948,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-254477.5235593319,"unknown",-254471.58909726143,-254465.83468413353,0.0,6.66623330116272,268.9115674495697,274.7178680896759,278.4716246128082,283.92740988731384,308.74463272094727,315.3246030807495,"unknown","unknown",321.3148121833801,323.27617502212524,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",328.91021156311035,"","unknown",335.98359847068787,362.8031527996063,"unknown","unknown",369.49371790885925,376.6668846607208,378.37094259262085,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",384.98095417022705,"unknown","unknown",391.334144115448,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-43.51011800765991,"unknown",-37.82416534423828,-32.24159049987793,0.0,6.79534912109375,9.75379729270935,15.40458345413208,23.9485182762146,30.590916872024536,38.33285331726074,"unknown","unknown",45.72741770744324,51.333411693573,57.8038604259491,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.35107111930847,"","unknown",71.45829725265503,89.40712094306946,"unknown","unknown",95.43881106376648,101.25296401977539,106.04440689086914,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.0058000087738,"unknown","unknown",120.15405344963074,"",""
"56ee475",-651.5170676708221,"unknown",-645.795360326767,-640.1974065303802,0.0,7.095434665679932,2634.1559958457947,2644.9104750156403,38182.686207294464,38189.384439229965,38204.20270729065,"unknown","unknown",38210.60667490959,38217.390422582626,346254.49564647675,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",346260.2520086765,"","unknown",346265.866792202,347897.62395620346,347904.74694895744,"unknown","unknown",347911.76430892944,347916.5083501339,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",347922.07508111,"unknown","unknown",347927.463994503,"",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-140615.50258040428,"unknown",-140609.54989004135,-140603.72466349602,0.0,5.769829511642456,225583.79830050468,225590.56929516792,256544.83337950706,256551.19094586372,635741.4037110806,"unknown","unknown",635748.3297569752,635755.3836910725,635759.7991709709,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",635765.8596167564,"","unknown",635771.3615863323,635776.1764211655,"unknown",635783.1600003242,"unknown",635789.66457057,635792.2137756348,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",635797.779633522,"unknown","unknown",635804.1330051422,"",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
