"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1"
"49db8c4",-1030.7536220550537,"unknown",-1025.2279455661774,-1019.4013404846191,0.0,5.554778337478638,11.410733222961426,17.77434754371643,20.572351455688477,27.30778932571411,38.349953174591064,"unknown","unknown",45.5827260017395,52.95460867881775,69.34738945960999,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",75.23815059661865,"unknown",82.59250068664551,99.348788022995,"unknown","unknown",105.92289638519287,112.51636028289795,132.28223085403442,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",138.54931235313416,"unknown","unknown",143.78424263000488,""
"ea8c0d6",-305203.5416202545,"unknown",-305197.73532032967,-305192.4085137844,0.0,5.689742565155029,7.4317827224731445,13.896674394607544,28.492356777191162,34.22848963737488,41.979880571365356,"unknown","unknown",47.73798179626465,53.01894974708557,55.16401767730713,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",60.910789012908936,"unknown",67.6404960155487,89.82288932800293,"unknown",96.0302267074585,"unknown",102.41194272041321,104.55221509933472,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.88778591156006,"unknown","unknown",115.9208562374115,""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-5431.950740814209,"unknown",-5425.24461889267,-5418.987596750259,0.0,5.787142038345337,7.791541576385498,13.312043190002441,43.803401947021484,49.413984298706055,52.16217374801636,58.450178146362305,"unknown","unknown",65.36666417121887,75.57261729240417,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.28148126602173,"unknown",87.28947710990906,93.61593103408813,99.92591667175293,"unknown","unknown",105.5580186843872,153.00076365470886,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160.22891235351562,"unknown","unknown",165.83883905410767,""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
