"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-84397.23212528229,"unknown",-84391.29329061508,-84385.17685198784,0.0,6.296369552612305,3688.246322154999,3695.3790831565857,3720.424649477005,3726.1714930534363,3731.103847503662,3738.093863964081,"unknown","unknown",3743.7855870723724,3749.8367841243744,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",3756.605469226837,"","unknown",3762.9561750888824,3765.7984659671783,"unknown",3772.279025554657,"unknown",3778.579732656479,3780.7481412887573,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",3786.9569189548492,"unknown","unknown",3793.03045630455
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-27215.52300810814,"unknown",-27208.863913297653,-27202.409992456436,0.0,5.775486469268799,9.949138164520264,17.381075620651245,37.60510754585266,43.6256742477417,57.42861890792847,"unknown",63.072826623916626,"unknown",68.74723649024963,72.24231266975403,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.77575206756592,"","unknown",84.69080638885498,88.33959770202637,"unknown",93.84717392921448,"unknown",99.99237728118896,101.62334179878235,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",107.13585829734802,"unknown","unknown",113.76615905761719
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-44206.61349964142,"unknown",-44200.93218541145,-44193.96043968201,0.0,6.152544260025024,7.978564023971558,15.496556282043457,24.7365243434906,30.760390758514404,36.6077082157135,42.88384222984314,"unknown","unknown",49.190837144851685,51.44945001602173,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",57.61096000671387,"","unknown",63.102914810180664,66.01931166648865,71.67838263511658,"unknown","unknown",77.47410702705383,79.72499227523804,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",86.8546724319458,"unknown","unknown",93.25822520256042
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-14892.38837647438,"unknown",-14885.491238117218,-14879.712915420532,0.0,5.740562915802002,7.125165700912476,15.615626573562622,23.244638919830322,29.85653805732727,39.13664102554321,"unknown",45.867719650268555,"unknown",52.613619327545166,54.567758083343506,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.930320739746094,"","unknown",68.78183484077454,75.04006290435791,"unknown",81.35168647766113,"unknown",87.24335837364197,107.3768880367279,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.20466184616089,"unknown","unknown",120.089763879776
"ac6f3f6",-15.43074893951416,"unknown",-9.272355794906616,-2.2670199871063232,0.0,6.901517868041992,10.14327597618103,17.846742391586304,35.81373119354248,42.363293170928955,55.11146259307861,62.10232639312744,"unknown","unknown",68.54800581932068,71.75134873390198,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.40778303146362,"","unknown",84.31823897361755,91.25962376594543,"unknown","unknown",97.23703503608704,103.83128309249878,107.84945440292358,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.615318775177,"unknown","unknown",121.62884545326233
"62447b9",-505181.54011678696,"unknown",-505175.9691622257,-505169.7343761921,0.0,7.165508985519409,9.347220182418823,16.123358964920044,29.882331132888794,36.62193751335144,40.11509323120117,"unknown","unknown",46.9731502532959,54.22516894340515,56.45765995979309,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.16505169868469,"","unknown",68.45829844474792,77.61476492881775,"unknown","unknown",84.94187188148499,91.25334668159485,93.54623007774353,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.39252424240112,"unknown","unknown",104.60567688941956
"20f3e2e",-10444.786779642105,"unknown",-10438.769235134125,-10433.356903076172,0.0,5.515143871307373,10.039920806884766,19.08073616027832,48.67255926132202,55.340638637542725,57.697248220443726,64.3039391040802,"unknown","unknown",69.73895907402039,71.43463778495789,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.87756037712097,"","unknown",84.18026542663574,92.22541213035583,"unknown",97.54737949371338,"unknown",104.04896640777588,106.44202661514282,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.51806569099426,"unknown","unknown",119.81100130081177
