"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-7955.654312133789,"unknown",-7950.042630910873,-7944.803252220154,0.0,7.4953484535217285,9.60508942604065,18.12137508392334,33.27791094779968,38.89020228385925,40.78791403770447,47.44320511817932,"unknown","unknown",54.43527913093567,56.30047416687012,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",62.43545842170715,"unknown",68.09779596328735,70.7333722114563,78.05577659606934,"unknown","unknown",84.20191287994385,86.32794499397278,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",92.65013694763184,"unknown","unknown",98.1804690361023
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-24817.725643634796,"unknown",-24810.7057158947,-24804.71019744873,0.0,7.037402153015137,10.749167919158936,18.301027297973633,50.170325756073,57.072691679000854,72.78342032432556,78.44971179962158,"unknown","unknown",84.78336834907532,86.26101422309875,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.92101502418518,"unknown",97.87898635864258,101.26400423049927,107.24072647094727,"unknown","unknown",112.70039820671082,114.37765908241272,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",120.95778393745422,"unknown","unknown",126.70119833946228
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-259845.24062156677,"unknown",-259839.13733959198,-259832.86726808548,0.0,5.66727089881897,7.702045917510986,15.204052686691284,27.060266494750977,33.57064867019653,36.16652250289917,42.08066368103027,"unknown","unknown",48.06859874725342,50.22912335395813,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",56.162317514419556,"unknown",62.9563992023468,65.34880232810974,72.09177494049072,"unknown","unknown",78.69899129867554,80.36388754844666,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",87.02479863166809,"unknown","unknown",94.03294205665588
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-28176.932345867157,"unknown",-28170.956563711166,-28164.839564561844,0.0,5.978243589401245,8.381011247634888,15.681356430053711,2174.6304817199707,2181.9031994342804,2183.642625808716,"unknown",2190.4028005599976,"unknown",2197.2077236175537,2198.84029006958,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2205.4327993392944,"unknown",2211.545448064804,2213.6645686626434,"unknown",2219.142876625061,"unknown",2224.967654466629,2226.5153427124023,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2232.7990741729736,"unknown","unknown",2239.316206216812
