"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"4e53c5c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-2272.971069097519,"unknown",-2266.5729353427887,-2259.372191429138,0.0,7.242211580276489,12.879180669784546,20.39446234703064,190.42992210388184,196.10046434402466,230.19835424423218,"unknown","unknown",235.91449618339539,242.13335132598877,243.86662435531616,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",249.85609984397888,"unknown",255.95979022979736,277.6937747001648,"unknown","unknown",283.6692340373993,289.7284197807312,291.64918637275696,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",298.10238671302795,"unknown","unknown",304.68673634529114
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-25745.102368593216,"unknown",-25739.330013990402,-25732.27004981041,0.0,6.1096720695495605,8.4563729763031,15.479974508285522,42.38231039047241,48.014315605163574,54.94846558570862,"unknown","unknown",60.546369552612305,66.0908145904541,68.22362184524536,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.78193950653076,"unknown",80.64667344093323,84.99845385551453,"unknown",90.97957992553711,"unknown",96.68839120864868,100.45694851875305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.48553252220154,"unknown","unknown",112.39830136299133
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1216.4898734092712,"unknown",-1209.365466117859,-1203.330127954483,0.0,6.898564338684082,2217.397959947586,2225.803651332855,2250.690310239792,2256.6020617485046,2265.502943754196,2271.0655195713043,"unknown","unknown",2276.3800592422485,2280.2223508358,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2287.296567440033,"unknown",2293.100163459778,2324.1834535598755,2331.1244761943817,"unknown","unknown",2337.532794237137,2366.7010984420776,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",2373.342395544052,"unknown","unknown",2379.4203159809113
