"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-15811.310585975647,"unknown",-15804.282595157623,-15797.772311925888,0.0,6.0733513832092285,7.703811407089233,16.79388189315796,31.512934684753418,38.67766261100769,47.355337142944336,"unknown",52.81012749671936,"unknown",58.996543169021606,61.48836636543274,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.8947401046753,"unknown",74.12247109413147,79.95943212509155,"unknown",86.98484873771667,"unknown",93.50171732902527,96.85512495040894,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",103.11287903785706,"unknown","unknown",108.83573389053345
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-22739.512169599533,"unknown",-22733.02451825142,-22725.960994958878,0.0,5.4562828540802,10.861644268035889,19.060701608657837,37.885717153549194,45.1622359752655,54.06551718711853,"unknown","unknown",60.69037389755249,66.0834424495697,77.26556611061096,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",83.81644010543823,"unknown",89.22874045372009,119.98107051849365,"unknown","unknown",126.1967134475708,131.67328667640686,136.26867604255676,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",142.25856709480286,"unknown","unknown",147.83830761909485
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-522601.4841430187,"unknown",-522595.9640097618,-522590.23621559143,0.0,6.9306159019470215,11.628163814544678,20.16540551185608,29.08255171775818,36.407429456710815,39.548134088516235,"unknown","unknown",45.83942985534668,51.54999566078186,53.05543327331543,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.29583287239075,"unknown",66.40834093093872,70.73710227012634,77.84210777282715,"unknown","unknown",83.88298845291138,137.32686758041382,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",142.60393643379211,"unknown","unknown",148.590092420578
"ac6f3f6",-126.96575212478638,"unknown",-119.79423213005066,-113.25293684005737,0.0,6.96910834312439,27.988833904266357,36.43341636657715,122.71994018554688,128.97395968437195,132.20027923583984,"unknown","unknown",137.73948860168457,143.91522240638733,145.31773447990417,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",151.67514944076538,"unknown",157.62925171852112,164.51479244232178,171.33473920822144,"unknown","unknown",178.5480499267578,180.09146928787231,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",185.97665643692017,"unknown","unknown",192.4507668018341
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-54548.552174568176,"unknown",-54541.681432724,-54536.04588031769,0.0,6.747952699661255,10.881810188293457,19.4988374710083,96.03226494789124,102.53284740447998,117.83800482749939,"unknown","unknown",124.9283721446991,131.84263968467712,134.5894751548767,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",140.42344212532043,"unknown",147.18177723884583,151.5611264705658,"unknown",157.98003435134888,"unknown",163.9317421913147,167.83474731445312,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",173.5198998451233,"unknown","unknown",179.2899534702301
