"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-19128.011221170425,"unknown",-19122.01428580284,-19116.52822303772,0.0,7.140256404876709,9.656485795974731,17.818220853805542,34.02567458152771,40.716482162475586,44.205862522125244,"unknown",49.91371822357178,"unknown",55.59759855270386,58.01508545875549,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.41394114494324,"","unknown",70.41192984580994,73.06192970275879,"unknown",79.79319620132446,"unknown",86.800696849823,118.53750610351562,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.84377360343933,"unknown","unknown",130.7426040172577
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-136448.9420926571,"unknown",-136443.51234912872,-136437.08916068077,0.0,6.8267529010772705,31.05075740814209,42.5572075843811,93.9566957950592,99.42616820335388,121.64723038673401,127.20193338394165,"unknown","unknown",133.3871307373047,142.1431760787964,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",147.79150414466858,"","unknown",153.72386407852173,165.8951439857483,172.69126105308533,"unknown","unknown",178.28330969810486,315.3028426170349,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",321.2896885871887,"unknown","unknown",326.6586101055145
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-678.3224115371704,"unknown",-672.398255109787,-666.6843366622925,0.0,6.092355012893677,14.941018104553223,22.75219988822937,25.068066358566284,31.09048843383789,41.93692755699158,"unknown","unknown",49.036197662353516,54.99359059333801,57.58745884895325,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.181726694107056,"","unknown",70.00991582870483,73.02877950668335,"unknown",79.94773483276367,"unknown",86.49838519096375,88.60806107521057,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.57674789428711,"unknown","unknown",101.92719459533691
"ac6f3f6",-23.393611192703247,"unknown",-17.671764612197876,-11.765880823135376,0.0,7.035351991653442,61.829830169677734,70.82467889785767,99.28856658935547,105.73402118682861,108.31121921539307,"unknown",113.87504434585571,"unknown",121.03185272216797,125.67918086051941,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",132.1953718662262,"","unknown",137.74616527557373,146.13008999824524,152.91934871673584,"unknown","unknown",159.23488903045654,198.79934883117676,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",204.54450106620789,"unknown","unknown",210.1816782951355
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-14112.45632648468,"unknown",-14105.129964351654,-14099.11560678482,0.0,6.140367031097412,10.020605564117432,18.761703491210938,54.40218925476074,59.916651248931885,62.151623010635376,"unknown","unknown",67.69371104240417,74.83112668991089,76.81377959251404,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.5832257270813,"","unknown",88.25529956817627,92.75121474266052,"unknown","unknown",99.34986686706543,105.04453325271606,106.81343865394592,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.9332754611969,"unknown","unknown",119.9358561038971
