"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-2172.4388065338135,"unknown",-2165.504337310791,-2158.830732822418,0.0,7.292978525161743,17.163098096847534,24.658647298812866,46.94615030288696,53.85685873031616,58.72886776924133,"unknown","unknown",64.01166462898254,71.16309762001038,73.58176183700562,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",80.63312220573425,"unknown",87.26226782798767,94.42602062225342,101.63094401359558,"unknown","unknown",107.08478140830994,109.42943406105042,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.79305696487427,"unknown","unknown",121.94231462478638
"ea8c0d6",-1776.7410008907318,"unknown",-1769.617419719696,-1764.221032857895,0.0,5.649111986160278,7.493450403213501,15.027716159820557,46.169553995132446,52.08626651763916,58.257041931152344,"unknown","unknown",63.868647813797,69.87022280693054,72.74782156944275,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",79.69055914878845,"unknown",86.09927940368652,91.50347900390625,"unknown","unknown",98.71091270446777,104.36640191078186,106.88150596618652,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.99805116653442,"unknown","unknown",119.40540528297424
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-3032.783163547516,"unknown",-3026.076827764511,-3020.1762125492096,0.0,6.948988914489746,8.88610553741455,16.344281911849976,39.14202618598938,46.13073992729187,53.34899020195007,"unknown",60.05932307243347,"unknown",66.65549397468567,72.31714940071106,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.49371910095215,"unknown",85.21268391609192,89.15312600135803,95.92137598991394,"unknown","unknown",102.92133164405823,111.39700937271118,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.66532897949219,"unknown","unknown",122.95253252983093
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-149.86161088943481,"unknown",-143.13495016098022,-136.72660565376282,0.0,6.199519395828247,18.631614446640015,26.999459743499756,79.80143356323242,85.64379572868347,87.7633228302002,"unknown","unknown",93.87841510772705,100.56898307800293,139.9372317790985,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",145.8423523902893,"unknown",152.7221179008484,167.33404350280762,"unknown","unknown",173.14094257354736,179.746031999588,182.11275267601013,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",188.0064857006073,"unknown","unknown",194.5190258026123
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-689.666163444519,"unknown",-684.3707339763641,-677.7745652198792,0.0,5.712333679199219,10.435878276824951,18.452529668807983,39.2828950881958,45.595136404037476,48.557074308395386,"unknown","unknown",54.67346405982971,61.1016149520874,63.79017901420593,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",70.18432641029358,"unknown",76.77355480194092,79.19985437393188,"unknown","unknown",84.56993007659912,90.60581541061401,92.96240639686584,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",99.31580567359924,"unknown","unknown",105.12413191795349
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
