"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-52875.33691906929,"unknown",-52868.35995411873,-52861.31161928177,0.0,7.484549522399902,9.152445793151855,16.13782262802124,18.860414505004883,25.214324474334717,47.357760429382324,"unknown","unknown",53.61548328399658,59.64361357688904,61.75492739677429,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.77049565315247,"unknown",75.81834578514099,82.77507710456848,"unknown","unknown",88.75245118141174,95.58362054824829,97.24188470840454,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",102.63080930709839,"unknown","unknown",109.92669010162354
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-44671.398520469666,"unknown",-44665.44448471069,-44660.13523888588,0.0,7.477086305618286,14.035154819488525,19.485790491104126,32.05625605583191,39.14611625671387,71.03904008865356,"unknown","unknown",76.7012186050415,83.70745515823364,85.4041645526886,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",90.75699090957642,"unknown",96.06583285331726,101.40826916694641,"unknown","unknown",108.19530916213989,114.21459197998047,153.08257269859314,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",159.1033215522766,"unknown","unknown",165.1718134880066
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac6f3f6",-83.36230540275574,"unknown",-77.02846765518188,-69.8683295249939,0.0,6.625138998031616,20.564802169799805,27.775429725646973,2408.604485273361,2414.242725610733,2489.4330327510834,"unknown",2494.97105884552,"unknown",2501.8110342025757,2530.168492078781,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",2535.75550532341,"unknown",2542.1592502593994,3346.0051732063293,3352.857858657837,"unknown","unknown",3359.7651419639587,3361.254591703415,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",3367.609842777252,"unknown","unknown",3374.6639454364777
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-47050.54665470123,"unknown",-47044.03340244293,-47038.190348148346,0.0,5.202827215194702,49.21432137489319,56.02476525306702,83.21708941459656,90.02914047241211,92.02034568786621,99.09913110733032,"unknown","unknown",105.66982102394104,107.54429507255554,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.3318042755127,"unknown",121.30525970458984,126.56195092201233,133.822820186615,"unknown","unknown",140.03320980072021,152.09489154815674,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",158.48116374015808,"unknown","unknown",165.61127853393555
