"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-939.1499481201172,"unknown",-932.9671783447266,-926.2056238651276,0.0,5.464094400405884,9.475711584091187,16.566184520721436,48.04034399986267,53.61898732185364,60.92837309837341,"unknown","unknown",66.40969824790955,73.38073444366455,75.446702003479,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.0870246887207,"","unknown",87.76900053024292,92.66709327697754,"unknown",99.36559104919434,"unknown",105.94206213951111,107.57116842269897,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.28676438331604,"unknown","unknown",119.91846418380737
"ea8c0d6",-247908.36933159828,"unknown",-247902.12205696106,-247895.26458978653,0.0,7.137154817581177,9.444986820220947,18.00383234024048,35.7968544960022,42.72695446014404,46.78540325164795,"unknown","unknown",53.77318453788757,60.98754954338074,82.16113924980164,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.08285188674927,"","unknown",95.62544870376587,112.61518788337708,"unknown","unknown",119.70826625823975,125.56636667251587,130.10752129554749,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",136.75927090644836,"unknown","unknown",143.69813919067383
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-108164.64568924904,"unknown",-108158.7841732502,-108152.66456484795,0.0,7.112496614456177,10.195181369781494,18.82667064666748,55.70117449760437,62.378117084503174,66.3391740322113,"unknown","unknown",72.20722317695618,77.60623145103455,80.80454516410828,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.57544541358948,"","unknown",93.59721732139587,103.55007004737854,"unknown","unknown",109.13101267814636,114.8417296409607,127.6406741142273,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",134.2670612335205,"unknown","unknown",141.56811618804932
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-255.7735698223114,"unknown",-249.53582787513733,-242.41820120811462,0.0,7.214981317520142,9.802051067352295,18.270204782485962,27.385926723480225,34.6802077293396,98.19815969467163,"unknown","unknown",103.83379697799683,110.94365334510803,116.93999481201172,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.50674176216125,"","unknown",130.41138100624084,133.6146388053894,"unknown","unknown",139.52462077140808,146.2314968109131,147.63163471221924,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",154.75045108795166,"unknown","unknown",160.35457253456116
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd",-117606.37683105469,"unknown",-117600.98341226578,-117595.29204368591,0.0,6.488588094711304,38.6694061756134,47.21547794342041,51.44972777366638,56.95965075492859,71.941814661026,"unknown","unknown",78.87333106994629,85.2573812007904,87.241947889328,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.05270099639893,"","unknown",100.16875839233398,106.46040844917297,"unknown",113.48679542541504,"unknown",120.59743404388428,124.56075644493103,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",131.63359999656677,"unknown","unknown",138.65200543403625
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe",-13962.28627705574,"unknown",-13956.368588924408,-13950.800872802734,0.0,6.1042985916137695,8.097519874572754,16.795868635177612,36.27848839759827,43.414896726608276,49.14510488510132,"unknown","unknown",55.23667573928833,62.32873463630676,64.04367232322693,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.52763962745667,"","unknown",77.71878910064697,169.09921145439148,"unknown",174.92690134048462,"unknown",181.34153389930725,183.83346509933472,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",190.77896690368652,"unknown","unknown",196.5851104259491
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-8105.970946311951,"unknown",-8099.290205955505,-8093.689433813095,0.0,7.409641265869141,12.167539119720459,19.29478406906128,34.83323669433594,41.263877153396606,45.35041165351868,"unknown","unknown",51.64132618904114,58.07555389404297,62.42431139945984,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.32372879981995,"","unknown",74.2079062461853,80.95489692687988,"unknown","unknown",87.49370908737183,94.22758078575134,102.95426845550537,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",108.89661407470703,"unknown","unknown",114.97842288017273
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-201.30612969398499,"unknown",-194.25077652931213,-188.45245838165283,0.0,5.279908657073975,14.648567914962769,23.092943906784058,35.971943616867065,42.240724325180054,49.5737669467926,"unknown","unknown",56.63841485977173,63.19820165634155,69.79447674751282,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.03087425231934,"","unknown",82.89033055305481,97.04908514022827,"unknown","unknown",104.14948058128357,109.74528455734253,124.0819640159607,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",129.83132600784302,"unknown","unknown",136.46793007850647
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
