"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-6002.148313999176,"unknown",-5996.61225771904,-5991.106688976288,0.0,7.5708396434783936,11.109240055084229,16.897079944610596,20.957351684570312,26.372469425201416,48.50710415840149,"unknown","unknown",54.8104362487793,61.89334297180176,67.3306655883789,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",73.7223219871521,"unknown",79.51276302337646,92.48939228057861,"unknown",98.93705987930298,"unknown",105.02554178237915,107.48176264762878,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",113.58284091949463,"unknown","unknown",120.27518057823181
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-6479.372176885605,"unknown",-6472.708634138107,-6466.54571390152,0.0,7.276149749755859,60.73076868057251,67.79265904426575,76.1792094707489,82.105703830719,91.30111908912659,"unknown","unknown",97.6008927822113,104.25193309783936,106.19371294975281,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",112.39954566955566,"unknown",119.28281378746033,132.3250801563263,"unknown","unknown",139.03175139427185,145.12688636779785,146.99744868278503,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",152.2582232952118,"unknown","unknown",158.97714638710022
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-27252.057275533676,"unknown",-27246.60441184044,-27240.196583986282,0.0,6.446186065673828,8.170748949050903,14.449980974197388,27.60732364654541,34.59306621551514,36.85163879394531,"unknown","unknown",43.910669803619385,49.9281690120697,51.84337329864502,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",58.47425723075867,"unknown",65.10871148109436,68.45455574989319,"unknown","unknown",74.53288125991821,80.00547575950623,3942.560363292694,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",3949.7365374565125,"unknown","unknown",3955.6327307224274
"ac6f3f6",-628.9265327453613,"unknown",-622.5182158946991,-616.2406358718872,0.0,6.130846738815308,717.4609005451202,723.0875606536865,728.7716453075409,734.664678812027,740.6071498394012,746.5757160186768,"unknown","unknown",753.5607731342316,775.211786031723,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",781.0550701618195,"unknown",786.8664698600769,790.7439045906067,797.5498511791229,"unknown","unknown",802.7807641029358,805.9753360748291,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",811.4905278682709,"unknown","unknown",816.8187367916107
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-25599.58265852928,"unknown",-25594.238878965378,-25587.48058271408,0.0,7.193079948425293,12.391492128372192,18.674940586090088,44.350327014923096,50.03923797607422,62.90817904472351,"unknown","unknown",68.72519326210022,75.39100337028503,108.6683177947998,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",115.48747229576111,"unknown",121.75551676750183,124.88037705421448,"unknown","unknown",131.26468110084534,137.23549056053162,139.8694508075714,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",146.01662588119507,"unknown","unknown",153.02311396598816
