"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8",-11098.911149024963,"unknown",-11093.378406524658,-11086.394981384277,0.0,7.28186821937561,23.744608640670776,30.236563682556152,58.37603521347046,65.18077564239502,73.16021919250488,"unknown","unknown",79.4464201927185,84.94428062438965,87.36423420906067,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.31147336959839,"unknown",99.63133478164673,101.84464907646179,"unknown","unknown",108.63856840133667,114.21657276153564,116.00271987915039,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.44165825843811,"unknown","unknown",129.19059371948242
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-80232.84590578079,"unknown",-80227.32756495476,-80220.94311833382,0.0,5.691951751708984,7.730968475341797,14.707868099212646,27.450711488723755,33.299715995788574,39.49692749977112,"unknown",44.7548828125,"unknown",51.481167793273926,53.6769917011261,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",59.78165864944458,"unknown",66.3948621749878,71.21542954444885,"unknown",78.082279920578,"unknown",83.42670273780823,85.25392246246338,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",91.11001634597778,"unknown","unknown",97.66197061538696
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-38710.325219631195,"unknown",-38704.35993719101,-38697.24595165253,0.0,5.792657136917114,18.50399875640869,25.280806303024292,43.95317530632019,50.22192406654358,55.89082098007202,"unknown","unknown",61.44119691848755,68.3265233039856,70.31374669075012,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",76.64976477622986,"unknown",83.6969428062439,88.72295951843262,"unknown","unknown",94.95362639427185,101.86313033103943,105.46480989456177,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.95657634735107,"unknown","unknown",117.75076961517334
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-18.65139937400818,"unknown",-12.131759405136108,-6.162810325622559,0.0,6.478619813919067,6897.197201013565,6903.9907739162445,23300.794870615005,23307.615912675858,23324.04885482788,23329.881746053696,"unknown","unknown",23336.96333551407,23343.08500790596,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",23348.36930513382,"unknown",23355.08644247055,23360.74779367447,23367.15248322487,"unknown","unknown",23373.61639738083,23926.484181404114,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",23932.366450309753,"unknown","unknown",23938.137996435165
"ac6f3f6",-13957.620324134827,"unknown",-13950.987820148468,-13944.201463460922,0.0,5.754358530044556,11.970316886901855,18.87358021736145,59.75600600242615,65.34671258926392,70.43595170974731,"unknown","unknown",76.10534262657166,81.75931882858276,84.46280908584595,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",91.53965997695923,"unknown",97.2913327217102,99.92251992225647,106.31599187850952,"unknown","unknown",111.55813670158386,113.07167983055115,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.6724305152893,"unknown","unknown",124.9128155708313
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-564.0019781589508,"unknown",-557.8331732749939,-551.5486373901367,0.0,7.173253774642944,18.85123562812805,25.596217393875122,109.37713646888733,116.09240102767944,198.1021111011505,"unknown",205.16521573066711,"unknown",210.71856951713562,225.19781041145325,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",230.8674066066742,"unknown",237.02500081062317,292.4062089920044,"unknown",299.19563269615173,"unknown",304.69125294685364,308.9210526943207,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",314.79843282699585,"unknown","unknown",321.69612669944763
