"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-14759.84660077095,"unknown",-14753.20110654831,-14747.75903892517,0.0,7.167725086212158,8.738416194915771,15.784139394760132,17.729525327682495,23.89549469947815,48.847156286239624,"unknown","unknown",54.960896492004395,62.250707149505615,64.23497223854065,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",69.57470607757568,"unknown",74.90177202224731,1160.2498602867126,"unknown","unknown",1165.8223297595978,1171.122465133667,1173.0334722995758,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1178.5415668487549,"unknown","unknown",1184.7458963394165
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-14066.250691652298,"unknown",-14059.711847782135,-14052.230132102966,0.0,6.601110935211182,8.615495920181274,15.145843029022217,39.4449508190155,45.10020589828491,50.504767417907715,"unknown","unknown",57.91360783576965,64.90887236595154,167.94243383407593,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",173.51392650604248,"unknown",179.98851323127747,196.73045229911804,203.24908137321472,"unknown","unknown",208.71920704841614,212.32949209213257,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",218.19360423088074,"unknown","unknown",225.22271823883057
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-7540.594549179077,"unknown",-7533.393468379974,-7526.657343626022,0.0,5.624155521392822,6.843068838119507,14.062509775161743,79.19420027732849,84.71976041793823,92.98329997062683,"unknown","unknown",99.0062837600708,105.52761793136597,107.529794216156,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.31568098068237,"unknown",121.31032586097717,123.64050507545471,129.47461366653442,"unknown","unknown",136.1689109802246,137.6692042350769,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",143.24390697479248,"unknown","unknown",149.9004683494568
"ac6f3f6",-3525.502679347992,"unknown",-3519.0720088481903,-3513.6934242248535,0.0,5.708584547042847,163.70846939086914,170.935227394104,191.91845440864563,199.1898899078369,204.28226494789124,209.92092442512512,"unknown","unknown",216.08327078819275,259.2360429763794,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",266.4788670539856,"unknown",272.49259066581726,286.8843367099762,"unknown",292.34216833114624,"unknown",297.8131880760193,313.4573242664337,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",319.07239174842834,"unknown","unknown",325.74410700798035
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-3182.075607061386,"unknown",-3176.428716659546,-3170.945437192917,0.0,7.0152268409729,10.903688669204712,16.142879962921143,35.99206471443176,42.48801875114441,46.78085398674011,"unknown","unknown",53.934120416641235,59.40067386627197,61.00058150291443,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",66.76530265808105,"unknown",72.95858836174011,74.98174262046814,82.0319414138794,"unknown","unknown",87.2517671585083,88.81214165687561,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",94.27687048912048,"unknown","unknown",101.22536087036133
