"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1","4_1","5_1"
"0a30844",-26959.22994017601,"unknown",-26951.523050546646,-26946.138915538788,0.0,6.881845235824585,12.663212776184082,18.319395303726196,44.31039237976074,51.16614294052124,60.52440595626831,"unknown","unknown",66.15895080566406,72.59984040260315,75.61602735519409,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.91075372695923,"","unknown",87.3364725112915,474.657381772995,"unknown","unknown",481.04345893859863,487.19243240356445,783.4651036262512,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",789.2683072090149,"unknown","unknown",796.3716578483582,"","","",""
"43d0b63",-220448.86854434013,"unknown",-220442.76933646202,-220436.06943750381,0.0,6.023931503295898,12.865004062652588,18.540414094924927,46.305211782455444,53.43578600883484,58.724422454833984,64.94636464118958,"unknown","unknown",72.31148290634155,74.83712863922119,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.87433290481567,"","unknown",87.28360414505005,97.29130482673645,"unknown",103.66795253753662,"unknown",110.4586730003357,112.2630181312561,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.48008036613464,"unknown","unknown",125.18312001228333,"","","",""
"addf295",-17663.603756904602,"unknown",-17657.599788188934,-17650.369035959244,0.0,5.586686849594116,11.314618349075317,16.75952386856079,53.919665813446045,60.76450204849243,91.74727582931519,"unknown",98.04581046104431,"unknown",103.94006395339966,105.84275197982788,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.39888858795166,"","unknown",119.44767355918884,126.27381944656372,131.57283234596252,"unknown","unknown",138.63431572914124,140.79870676994324,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",146.79614639282227,"unknown","unknown",153.19997668266296,"","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-15.795594692230225,"unknown",-9.698421001434326,-3.3029396533966064,0.0,5.992239236831665,8.3749520778656,14.367058753967285,21.966485023498535,28.529566764831543,34.27486610412598,41.260438680648804,"unknown","unknown",47.300129890441895,48.87665820121765,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",56.10682249069214,"","unknown",63.44802713394165,69.96176362037659,"unknown",75.34190106391907,"unknown",80.64928555488586,88.98643851280212,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",95.93896722793579,"unknown","unknown",101.36713004112244,"","","",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-154210.98083996773,"unknown",-154205.10555315018,-154198.97864699364,0.0,6.549567461013794,41.538912534713745,47.74010896682739,72.09252500534058,78.23008012771606,94.38009285926819,"unknown",100.09982824325562,"unknown",106.43849563598633,108.95366311073303,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.42451286315918,"","unknown",121.0736358165741,150.44859313964844,"unknown",156.02502608299255,"unknown",163.12205362319946,165.25856757164001,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",171.1199209690094,"unknown","unknown",178.22637295722961,-45626.92252659798,"","",""
"bd305b8",-31274.054278612137,"unknown",-31267.6261408329,-31260.693125724792,0.0,6.281895399093628,32.35569453239441,38.934141635894775,847.8110408782959,854.8957891464233,864.3772435188293,"unknown","unknown",870.5623512268066,875.8811635971069,878.5872797966003,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",885.7655255794525,"","unknown",892.0956919193268,162596.35558319092,"unknown",162602.42360806465,"unknown",162609.63170838356,162612.5771689415,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",162619.2108156681,"unknown","unknown",162625.23919153214,"","","",""
"4b70ed3",-31.026262044906616,"unknown",-24.9293212890625,-19.34887957572937,0.0,6.398167610168457,9.881608486175537,15.873172998428345,37.50766158103943,44.554648876190186,56.39067625999451,"unknown",62.9699227809906,"unknown",68.46180391311646,70.23174047470093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.20715737342834,"","unknown",82.74027800559998,97.20443892478943,"unknown",102.82504630088806,"unknown",108.73783278465271,111.53047275543213,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",118.69625997543335,"unknown","unknown",124.97364926338196,"","","",""
"8ec15bc",-12622.795719146729,"unknown",-12615.65793967247,-12608.568725824356,0.0,5.39403223991394,7.799362659454346,13.943869829177856,34.35532021522522,40.065903186798096,50.38161659240723,"unknown",58.408106088638306,"unknown",64.8413302898407,74.32189893722534,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.97677230834961,"","unknown",85.29128837585449,89.56959080696106,96.03314352035522,"unknown","unknown",103.13841843605042,105.04580640792847,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.1848418712616,"unknown","unknown",118.79080820083618,"","","",""
"6c8906b",-79915.53979825974,"unknown",-79908.96468949318,-79902.62696409225,0.0,7.346458196640015,11.796760320663452,18.975985765457153,41.99825406074524,47.978569746017456,160.28821206092834,166.33085417747498,"unknown","unknown",174.96241164207458,370.02596950531006,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",376.2497007846832,"","unknown",382.07360315322876,396.5891013145447,402.3624906539917,"unknown","unknown",409.366596698761,412.21349477767944,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",419.39952993392944,"unknown","unknown",425.6645977497101,"","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13",-8875.373041152954,"unknown",-8869.258290052414,-8863.087302446365,0.0,7.329737186431885,12.553426742553711,19.19611144065857,43.08031892776489,49.96376609802246,83.94375586509705,"unknown",90.45020699501038,"unknown",96.54708862304688,99.33306050300598,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.28119897842407,"","unknown",112.86245584487915,128.17972564697266,135.30546164512634,"unknown","unknown",141.5043342113495,145.85673308372498,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",151.29120874404907,"unknown","unknown",159.46284174919128,"","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266",-78215.91302156448,"unknown",-78210.29199385643,-78204.34655404091,0.0,6.774581670761108,271016.2789700031,271023.46726870537,271863.668487072,271870.1016302109,271878.37948942184,271884.4588663578,"unknown","unknown",271891.01199293137,271893.2789263725,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",271899.45443964005,"","unknown",271905.095659256,271907.7348358631,271914.2519032955,"unknown","unknown",271919.95957136154,687191.055770874,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",687196.8448753357,"unknown","unknown",687203.8545920849,"","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-25566.970419168472,"unknown",-25560.36918759346,-25554.090507268906,0.0,6.067914962768555,9.093199253082275,14.786374568939209,67.13205289840698,72.70416593551636,93.30448389053345,"unknown",98.89389300346375,"unknown",105.34922075271606,108.33101749420166,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",114.34319019317627,"","unknown",120.15444278717041,139.96168041229248,146.47379112243652,"unknown","unknown",152.25982403755188,163.4964246749878,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",170.09535694122314,"unknown","unknown",176.9088282585144,"","","",""
"a300755",-550.5600163936615,"unknown",-543.6688063144684,-536.7018580436707,0.0,5.594505548477173,8.177222490310669,15.215517044067383,35.40895462036133,40.90906500816345,47.89635920524597,"unknown",55.1696834564209,"unknown",61.35376739501953,63.80270218849182,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.96822381019592,"","unknown",76.35203337669373,87.14116787910461,"unknown",93.29813933372498,"unknown",99.47906255722046,101.70283579826355,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.45670700073242,"unknown","unknown",112.96843791007996,"","","",""
"802d704",-62252.7486038208,"unknown",-62246.08578372002,-62239.18209052086,0.0,7.158346176147461,14.018051385879517,20.642314195632935,43.75060153007507,49.13120150566101,55.708040714263916,"unknown",61.53740954399109,"unknown",67.38763236999512,69.25357365608215,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.38840007781982,"","unknown",81.1193151473999,89.86847496032715,96.32081365585327,"unknown","unknown",102.19455122947693,104.7484998703003,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.80199384689331,"unknown","unknown",117.64635801315308,"","","",""
"e892cd4",-97972.86958241463,"unknown",-97965.88076281548,-97959.73571562767,0.0,5.705780982971191,11.807621479034424,18.120405673980713,62.38751411437988,69.23707509040833,73.4921646118164,79.03640532493591,"unknown","unknown",85.88026666641235,90.08116912841797,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.3019368648529,"","unknown",103.52346301078796,108.77417516708374,115.65131688117981,"unknown","unknown",122.44686102867126,124.66901969909668,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.479261636734,"unknown","unknown",136.20499753952026,"","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-13216.686138868332,"unknown",-13210.120033740997,-13204.759458065033,0.0,5.9988322257995605,11.089673042297363,17.613695859909058,37.77247619628906,45.166675090789795,53.4207980632782,"unknown","unknown",59.92182946205139,65.52605676651001,67.83254218101501,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.12428975105286,"","unknown",78.7453966140747,87.09559941291809,"unknown","unknown",92.36684060096741,98.70392990112305,114.64758586883545,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.03364706039429,"unknown","unknown",127.84989070892334,"","","",""
"7bb45d3",-14897.846234560013,"unknown",-14891.732299804688,-14884.862694978714,0.0,6.105474948883057,16.721503734588623,22.394668579101562,48.50082492828369,55.61164355278015,70.74834561347961,"unknown",76.48610854148865,"unknown",81.88729429244995,83.44381928443909,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",90.41203927993774,"","unknown",95.80275249481201,103.43895149230957,110.0738468170166,"unknown","unknown",115.56596732139587,117.0998010635376,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.34692621231079,"unknown","unknown",128.44333004951477,"","","",""
"7622483",-2184.8970487117767,"unknown",-2179.328971862793,-2173.7929408550262,0.0,6.897212266921997,9.162455320358276,16.176814556121826,18.61137819290161,25.580665588378906,32.696364402770996,38.33190417289734,"unknown","unknown",44.74104046821594,62.51161074638367,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.09766173362732,"","unknown",73.70558142662048,85.61603689193726,91.29797697067261,"unknown","unknown",98.10150098800659,105.35585188865662,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",111.72064447402954,"unknown","unknown",117.73802065849304,"","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-47534.19468545914,"unknown",-47528.18973708153,-47522.66764044762,0.0,6.263311862945557,14.694397926330566,20.06199812889099,37.64760375022888,44.75996375083923,51.249022483825684,"unknown",56.597705602645874,"unknown",63.201812744140625,67.25732088088989,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.02387046813965,"","unknown",80.87680339813232,93.69377589225769,"unknown",99.23517918586731,"unknown",104.52126598358154,106.08693075180054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.50480937957764,"unknown","unknown",118.48577666282654,"","","",""
"07ff49d",-18.815630197525024,"unknown",-11.867106437683105,-4.914886236190796,0.0,5.967959642410278,8.245914459228516,14.325829029083252,137.34000897407532,143.30627012252808,169.66794848442078,"unknown",175.66853404045105,"unknown",181.75061583518982,192.6821644306183,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",197.9277503490448,"","unknown",204.37015581130981,226.0479645729065,"unknown","unknown",232.0759847164154,237.94539856910706,238.88587522506714,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",244.73224997520447,"unknown","unknown",251.70568537712097,"","","",""
"22fdb61",-9212.620794534683,"unknown",-9206.562949895859,-9201.128283262253,0.0,5.883281707763672,21.017680168151855,27.647079467773438,48.077690839767456,54.360021114349365,60.82586622238159,"unknown",68.93889951705933,"unknown",74.9901270866394,89.91327333450317,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.7973563671112,"","unknown",101.94760346412659,118.8969795703888,"unknown",125.15937376022339,"unknown",130.54392504692078,134.6342372894287,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",140.95164012908936,"unknown","unknown",147.43725085258484,"","","",""
"db046f2",-4075.3548097610474,"unknown",-4068.892565011978,-4062.6927003860474,0.0,6.203067064285278,8.478845834732056,15.275121927261353,33.22944164276123,38.67953634262085,63.397367000579834,"unknown",70.57181644439697,"unknown",77.79139184951782,79.81125569343567,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.04793095588684,"","unknown",91.8384280204773,98.43414831161499,"unknown",104.20920825004578,"unknown",111.33321928977966,114.26327204704285,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.5528678894043,"unknown","unknown",125.94728994369507,"","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-35325.869505643845,"unknown",-35319.59981250763,-35313.00313639641,0.0,6.148051738739014,84.6393620967865,90.46781778335571,113.7814826965332,119.43516492843628,124.76945042610168,"unknown",131.59033918380737,"unknown",137.3618266582489,139.1939082145691,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",145.55209350585938,"","unknown",151.1138732433319,174.1246316432953,181.43814420700073,"unknown","unknown",186.67504835128784,255.54208850860596,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",261.79863357543945,"unknown","unknown",267.32829213142395,"","","",""
"ad2fc5b",-581.7485201358795,"unknown",-575.7263219356537,-568.5721487998962,0.0,5.797827243804932,9.238193035125732,14.875770807266235,39.51789402961731,45.760174036026,56.211806774139404,"unknown","unknown",62.5852313041687,69.76295065879822,72.13261008262634,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.77540135383606,"","unknown",83.12542271614075,111.32497692108154,"unknown","unknown",117.68001747131348,123.98453426361084,131.30120539665222,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",137.4217631816864,"unknown","unknown",143.40794801712036,"","","",""
"d318264",-756525.3252990246,"unknown",-756519.1332747936,-756513.8571500778,0.0,7.012096881866455,18.174720764160156,24.476258516311646,73.92138862609863,81.04948019981384,90.2134780883789,"unknown",95.8083848953247,"unknown",101.5304102897644,103.82230114936829,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.95598983764648,"","unknown",115.37773704528809,125.50691342353821,"unknown",131.98415231704712,"unknown",137.71001815795898,139.112895488739,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",144.44182443618774,"unknown","unknown",150.00391244888306,"","","",""
"741ef32",-199.163676738739,"unknown",-193.7300090789795,-187.53791165351868,0.0,7.5778021812438965,14.267078399658203,20.24297547340393,212.9710476398468,218.45854830741882,224.1967556476593,230.59645199775696,"unknown","unknown",236.65350365638733,238.8411374092102,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",245.1614067554474,"","unknown",251.58027124404907,261.49604654312134,"unknown","unknown",268.34904289245605,274.0689504146576,276.44334721565247,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",282.0943536758423,"unknown","unknown",289.0619647502899,"","","",""
"b75259d",-55.125144958496094,"unknown",-49.44267559051514,-43.25411415100098,0.0,6.124924182891846,10.948876142501831,16.667931079864502,38.52831315994263,45.15827298164368,60.24741196632385,"unknown",67.28806161880493,"unknown",73.46425747871399,76.33797812461853,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.29310131072998,"","unknown",90.02757716178894,101.71414542198181,"unknown",108.8237669467926,"unknown",114.93975567817688,120.93642449378967,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.3536479473114,"unknown","unknown",134.60764741897583,"","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-16619.91359591484,"unknown",-16613.684985876083,-16608.41072487831,0.0,7.284442663192749,10.974439144134521,16.377904653549194,37.61709237098694,43.686033487319946,47.307087421417236,53.50848627090454,"unknown","unknown",59.60963535308838,61.95319962501526,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.20339155197144,"","unknown",75.19592547416687,82.2765908241272,88.10231328010559,"unknown","unknown",93.98165965080261,96.39069056510925,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.27230024337769,"unknown","unknown",108.85148453712463,"","","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-992.708756685257,"unknown",-987.4354012012482,-980.3795537948608,0.0,6.129863977432251,13.420536994934082,19.58436918258667,40.91163229942322,46.55679154396057,90.63573002815247,97.5687427520752,"unknown","unknown",103.8529589176178,106.76421070098877,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.37334728240967,"","unknown",119.35751795768738,129.9673502445221,135.66989159584045,"unknown","unknown",143.73856163024902,146.3501935005188,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",152.55278038978577,"unknown","unknown",157.94322967529297,"","","",""
"537189f",-3706.4265937805176,"unknown",-3699.4099926948547,-3693.0928659439087,0.0,7.098347187042236,10.238597393035889,16.44930076599121,37.396668672561646,43.07142162322998,53.90155744552612,"unknown","unknown",60.02344989776611,67.40406584739685,70.33998560905457,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",76.5147500038147,"","unknown",83.77139019966125,91.16265058517456,"unknown","unknown",96.9709165096283,103.05237364768982,105.30303573608398,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.65825080871582,"unknown","unknown",116.76963949203491,"","","",""
"17b5a6e",-11172565.631963491,"unknown",-11172559.943012476,-11172552.723570347,0.0,5.271867036819458,10.363216161727905,16.0617413520813,31.04859757423401,36.93229651451111,59.16307234764099,"unknown",64.73119473457336,"unknown",70.59219670295715,73.34146428108215,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.08875703811646,"","unknown",85.07638645172119,102.88693833351135,109.79451823234558,"unknown","unknown",116.38653659820557,118.26784229278564,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",124.97935032844543,"unknown","unknown",131.42797350883484,-814457.5934398174,"","",""
"d3e37eb",-289.71203422546387,"unknown",-283.3699758052826,-276.66236448287964,0.0,7.160475015640259,9.707731485366821,15.649256706237793,33.90595626831055,39.78834581375122,55.17879009246826,"unknown",60.76881551742554,"unknown",67.23838353157043,69.00164246559143,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",74.8026773929596,"","unknown",81.80657958984375,86.60392093658447,92.01942801475525,"unknown","unknown",98.61211919784546,100.23624110221863,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",106.84590148925781,"unknown","unknown",113.55018901824951,"","","",""
"2ee7f92",-1163.0069344043732,"unknown",-1157.5479848384857,-1151.813457250595,0.0,6.160637140274048,24.678699731826782,31.87268090248108,53.75660943984985,59.24497175216675,68.86156702041626,75.22769689559937,"unknown","unknown",81.42046451568604,84.8529167175293,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",92.1767303943634,"","unknown",97.8633680343628,100.56170797348022,106.3527660369873,"unknown","unknown",112.51798009872437,115.31953382492065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",122.58972907066345,"unknown","unknown",129.41792964935303,"","","",""
"89d63ed",-30.136635303497314,"unknown",-23.97859263420105,-16.872145652770996,0.0,7.182890892028809,9.138739109039307,15.818678855895996,23.155345916748047,29.640432357788086,34.073150396347046,40.80664253234863,"unknown","unknown",46.500444650650024,48.34555244445801,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",53.95601558685303,"","unknown",60.869696617126465,76.76609253883362,"unknown","unknown",82.34812068939209,89.12861847877502,90.9871621131897,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",97.72161078453064,"unknown","unknown",104.5312147140503,"","","",""
"c0a644e",-62.992623805999756,"unknown",-56.30701041221619,-50.418970346450806,0.0,5.885665655136108,10.14396047592163,16.83919596672058,50.015472650527954,56.03621792793274,96.76073026657104,"unknown",103.81290984153748,"unknown",110.7997612953186,118.39471960067749,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.91668224334717,"","unknown",131.04086017608643,139.0512330532074,145.00883054733276,"unknown","unknown",151.44254159927368,154.32434678077698,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160.39085626602173,"unknown","unknown",167.09351754188538,"","","",""
"80f558b",-8932.4593937397,"unknown",-8926.876534223557,-8921.557458639145,0.0,5.697862863540649,10.425767183303833,17.017378568649292,47.7056610584259,53.7033154964447,116.15723061561584,121.49467134475708,"unknown","unknown",128.59465408325195,15091.816473722458,15097.935917139053,15136.934401988983,"unknown",15142.803696155548,"unknown",15149.908467769623,15152.4531955719,"unknown","unknown","unknown","unknown","unknown",15159.052893161774,"unknown",15164.34765291214,15181.428701162338,"unknown",15188.189563512802,"unknown",15194.139046907425,15196.574182748795,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",15203.228963375092,"unknown","unknown",15210.087394237518,"","","",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18",-20008.0865213871,"unknown",-20002.680896282196,-19996.408205986023,0.0,7.012272596359253,9.75522780418396,15.122781753540039,54.33407282829285,61.2417356967926,67.2232654094696,"unknown",73.37328767776489,"unknown",79.04926061630249,81.20739316940308,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.17310190200806,"","unknown",94.31950855255127,105.39829063415527,"unknown",111.47842240333557,"unknown",118.58960270881653,122.10377979278564,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",129.04105687141418,"unknown","unknown",135.8885853290558,"","","",""
"0186834",-210976.07251691818,"unknown",-210970.58682990074,-210964.67124962807,0.0,6.960154056549072,10.565720558166504,16.805439710617065,34.95910429954529,41.54082131385803,77.75576710700989,84.77288794517517,"unknown","unknown",91.98906755447388,93.94612145423889,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",100.91499948501587,"","unknown",106.7772798538208,116.93651032447815,122.23506951332092,"unknown","unknown",129.27326846122742,131.23617434501648,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",136.88004446029663,"unknown","unknown",142.40196824073792,"","","",""
"0355f6d",-160504.8428351879,"unknown",-160499.012424469,-160491.80270266533,0.0,6.388743877410889,13.753398895263672,19.67747688293457,47.891170501708984,53.78005003929138,58.0332465171814,"unknown",63.94034695625305,"unknown",70.8200261592865,73.04379487037659,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.89149165153503,"","unknown",84.53220987319946,103.47428870201111,"unknown",108.95521831512451,"unknown",114.79864549636841,116.86034798622131,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.86135506629944,"unknown","unknown",130.20793890953064,"","","",""
"fa6a8b8",-1761.1882305145264,"unknown",-1754.7967422008514,-1747.9745063781738,0.0,5.574489593505859,9.949447870254517,16.84094762802124,30.362872838974,37.59049844741821,55.28667736053467,62.61365294456482,"unknown","unknown",68.54799151420593,70.13026881217957,76.76853346824646,78.54436039924622,"unknown",84.828608751297,"unknown",90.77193665504456,94.03804993629456,"unknown","unknown","unknown","unknown","unknown",99.8827691078186,"unknown",107.05309200286865,111.89157938957214,"unknown",117.42671036720276,"unknown",122.83291554450989,125.00529527664185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",131.94913625717163,"unknown","unknown",138.2096312046051,"","","",""
"44167d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-3182.962218284607,"unknown",-3176.8232910633087,-3170.646828174591,0.0,6.269042730331421,10.022000074386597,17.192721843719482,38.13495087623596,43.868558406829834,164.488618850708,"unknown",171.31706070899963,"unknown",176.67059969902039,178.53564143180847,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",184.58933329582214,"","unknown",190.39821982383728,195.70609402656555,"unknown",201.713299036026,"unknown",207.66081404685974,209.23698163032532,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",216.07388162612915,"unknown","unknown",222.36292362213135,"","","",""
