"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1","4_1","5_1"
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",12.162741899490356,"unknown",50.22781848907471,"unknown",68.18785691261292,"unknown","unknown","unknown","unknown",87.66209387779236,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",3994.518871307373,"unknown","unknown","unknown","unknown",4010.850664138794,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c",-5284620.566629171,"unknown",-5284614.934818268,-5284608.708097935,0.0,6.028516530990601,8.592029571533203,22.50692892074585,35.667128801345825,47.693408250808716,168.03949427604675,"unknown",173.56849813461304,"unknown",179.16735935211182,182.95242381095886,189.5241687297821,191.19017505645752,"unknown","unknown",197.6221203804016,204.05618500709534,206.43585205078125,"unknown","unknown","unknown","unknown","unknown",212.46044945716858,"unknown",218.9722158908844,223.81795382499695,229.18541717529297,"unknown","unknown",235.22834587097168,237.42484974861145,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",244.70786833763123,"unknown","unknown",251.61235570907593,-116.18314051628113,"","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",11.588278770446777,"unknown",43.906895875930786,"unknown",84.9016387462616,"unknown","unknown","unknown","unknown",100.90723991394043,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",124.13165640830994,"unknown","unknown","unknown","unknown",138.5401587486267,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"ea8c0d6","unknown","unknown","unknown","unknown",0.0,"unknown",10.482747077941895,"unknown",32.154298305511475,"unknown",60.60516691207886,"unknown","unknown","unknown","unknown",75.4241361618042,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",124.54734396934509,"unknown","unknown","unknown","unknown",138.763347864151,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown","unknown",0.0,"unknown",11.531270980834961,"unknown",55.64439105987549,"unknown",152.36442875862122,"unknown","unknown","unknown","unknown",167.34151673316956,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",235.4156415462494,"unknown","unknown","unknown","unknown",253.9233205318451,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"41f497c",-20038.905062913895,"unknown",-20033.53431868553,-20027.014966011047,0.0,6.170001029968262,9.162939548492432,16.26714563369751,44.44147706031799,50.3105833530426,62.7026162147522,"unknown",69.27069544792175,"unknown",74.87295126914978,78.07615351676941,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.69631361961365,"","unknown",89.85354590415955,100.00742220878601,"unknown",105.53692102432251,"unknown",112.24342155456543,114.00085353851318,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.65990877151489,"unknown","unknown",125.38771224021912,"","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","unknown","unknown","unknown","unknown",0.0,"unknown",2241.1252431869507,"unknown",2464.092870235443,"unknown",2477.9286258220673,"unknown","unknown","unknown","unknown",2513.9375219345093,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",4047.103337287903,"unknown","unknown","unknown","unknown",4271.511469125748,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"68c3192","unknown","unknown","unknown","unknown",0.0,"unknown",7.653521537780762,"unknown",21.977399826049805,"unknown",36.97546982765198,"unknown","unknown","unknown","unknown",52.40504264831543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",70.84981536865234,"unknown","unknown","unknown","unknown",86.78712248802185,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","",""
"eb77de6",-1207.419056892395,"unknown",-1201.9784512519836,-1195.5766084194183,0.0,6.335099697113037,64578.15213751793,64584.59647202492,64604.466824769974,64610.43280887604,64810.144755125046,"unknown",64815.868247032166,"unknown",64822.2199215889,64823.64497470856,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64829.97413611412,"","unknown",64837.04899740219,160497.00651979446,160503.4734659195,"unknown","unknown",160509.80382466316,160512.43027448654,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",160517.8112604618,"unknown","unknown",160525.05513691902,"","","",""
