"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","2_1","3_1"
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",11.613918542861938,"unknown",40.3108332157135,"unknown",57.637001514434814,"unknown","unknown","unknown","unknown",72.31598281860352,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",99.51208305358887,"unknown","unknown","unknown","unknown",115.15733098983765,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-34554.71761798859,"unknown",-34548.92220616341,-34543.032866477966,0.0,7.021996021270752,10.575963735580444,16.94859218597412,33.80765104293823,39.87612748146057,43.25811314582825,"unknown","unknown",49.49857020378113,56.40275764465332,58.908127784729004,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",64.45034790039062,"","unknown",69.73415064811707,94.72067546844482,"unknown",100.62779641151428,"unknown",105.89905762672424,108.30502843856812,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.90967226028442,"unknown","unknown",120.61013770103455,"",""
"ea8c0d6",-6826.2668035030365,"unknown",-6820.178955078125,-6813.747806072235,0.0,5.415802717208862,8.419406414031982,14.519993782043457,43.557658672332764,50.41047763824463,55.48188018798828,"unknown","unknown",62.368425607681274,67.97086882591248,71.23222422599792,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.83327722549438,"","unknown",84.03755950927734,101.43080973625183,"unknown",106.94111061096191,"unknown",113.27291488647461,115.59054565429688,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.83198642730713,"unknown","unknown",128.54633212089539,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-1205.542371749878,"unknown",-1199.900425195694,-1193.9913942813873,0.0,7.2132580280303955,22.852352142333984,28.79247283935547,54.37178039550781,59.71823287010193,70.56647872924805,"unknown",76.07375764846802,"unknown",82.88643312454224,87.26387906074524,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",94.1586263179779,"","unknown",100.07363629341125,151.8868842124939,159.02752804756165,"unknown","unknown",164.33109068870544,169.88825392723083,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",176.1366047859192,"unknown","unknown",181.83846497535706,"",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-937440.5613205433,"unknown",-937434.1706371307,-937428.3765163422,0.0,6.824666976928711,20.259671211242676,26.50458025932312,44.259979486465454,51.26638746261597,75.38134455680847,"unknown",81.22057342529297,"unknown",88.23842072486877,90.18957901000977,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.90124988555908,"","unknown",102.67108058929443,107.94287419319153,"unknown",114.13304543495178,"unknown",119.76096248626709,121.10366988182068,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.72705698013306,"unknown","unknown",133.24446868896484,"",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-1044.028476715088,"unknown",-1031.1233747005463,-1000.6054935455322,0.0,7.0272345542907715,130.30196261405945,136.82246446609497,143.69362258911133,149.27214074134827,163.11639070510864,"unknown",169.93231844902039,"unknown",176.4667546749115,187.3900134563446,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",193.27988195419312,"","unknown",200.45440363883972,203.76625633239746,209.57749128341675,"unknown","unknown",216.43806648254395,218.48823809623718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",225.29874444007874,"unknown","unknown",231.33021783828735,"",""
"79868cd","unknown","unknown","unknown","unknown",0.0,"unknown",7.783469200134277,"unknown",20.602770805358887,"unknown",29.59547519683838,"unknown","unknown","unknown","unknown",81.49220728874207,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",117.87193179130554,"unknown","unknown","unknown","unknown",154.3448839187622,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","",""
