"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"518e9b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b5edd3c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"374ecf8",-14756.452346801758,-14749.627395153046,-14744.334609031677,-14738.232298374176,0.0,7.449608564376831,20.476161241531372,28.26223587989807,30.30845069885254,35.92748045921326,42.104506492614746,"unknown",48.89879608154297,"unknown",54.231083393096924,63.84499216079712,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",70.17967867851257,"","unknown",76.79913783073425,72162.46624326706,"unknown",72168.97288298607,"unknown",72174.6065518856,72181.4641418457,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",72187.41572570801,"unknown","unknown",72193.85363984108
"89f120b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883ca0",-183619.7722184658,-183613.3698759079,-183607.9908530712,-183602.3319633007,0.0,7.099340915679932,9.271436214447021,16.188835382461548,22.294734716415405,29.32941961288452,36.147499322891235,"unknown","unknown",42.935802698135376,49.76424694061279,52.78060865402222,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",58.700342416763306,"","unknown",64.24515128135681,68.04573106765747,"unknown",74.55393886566162,"unknown",81.44552111625671,87.29318404197693,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",93.81258726119995,"unknown","unknown",99.48924851417542
"8d2da97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2541155",-43.00224757194519,-37.26456046104431,-31.712427616119385,-25.67847990989685,0.0,6.836820840835571,8.709016561508179,14.370904922485352,16.18816900253296,21.807205200195312,23.848144054412842,29.939709424972534,"unknown","unknown",35.93631553649902,40.64353370666504,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",47.05315351486206,"","unknown",53.60554504394531,55.33055281639099,61.40817451477051,"unknown","unknown",67.90195536613464,75.79961228370667,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",81.05948090553284,"unknown","unknown",87.01300406455994
"ac6f3f6",-21.4430832862854,-14.315867900848389,-8.98123288154602,-1.8195371627807617,0.0,5.537908554077148,10.159554719924927,16.09097385406494,22.728832960128784,30.91555094718933,39.65816640853882,"unknown",47.889673709869385,"unknown",53.917731046676636,61.692025661468506,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.64204168319702,"","unknown",75.98299145698547,77.47072267532349,84.32424998283386,"unknown","unknown",92.03446078300476,94.0569486618042,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",100.39238166809082,"unknown","unknown",106.14656066894531
"62447b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20f3e2e",-1088.702185869217,-1081.5990822315216,-1074.5391409397125,-1068.458918094635,0.0,5.644150733947754,8.409822463989258,14.626274108886719,33.69104814529419,40.70707654953003,45.39033031463623,"unknown","unknown",51.53561472892761,57.36025094985962,62.81518745422363,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.29580402374268,"","unknown",74.38195657730103,78.65150284767151,"unknown",84.23242521286011,"unknown",90.11166381835938,102.9331419467926,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",109.61078238487244,"unknown","unknown",117.36404943466187
