"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-6705.668986558914,"unknown",-6698.388942956924,-6691.5432097911835,0.0,5.514761686325073,9.004345655441284,15.69809627532959,26.889843702316284,32.94384145736694,42.36828303337097,"unknown","unknown",48.07524752616882,54.42897057533264,60.45740246772766,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",67.44869351387024,"unknown",74.36565470695496,81.87176489830017,"unknown","unknown",87.10188174247742,92.61983728408813,95.95835852622986,101.65734386444092,108.259197473526,"unknown",114.73493957519531,"unknown",121.74754047393799,129.07564115524292,"unknown","unknown","unknown","unknown","unknown",135.5323462486267,"unknown",142.6308398246765
"ea8c0d6",-1425.5033404827118,"unknown",-1419.6286895275116,-1413.478788614273,0.0,7.189151048660278,9.620978355407715,14.791935682296753,40.395944595336914,46.630483865737915,59.189048528671265,"unknown","unknown",65.25863075256348,71.89396286010742,76.80827593803406,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",82.66130232810974,"unknown",88.46520972251892,96.39553737640381,"unknown","unknown",102.29295349121094,108.89868474006653,114.31217789649963,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",119.80768275260925,"unknown","unknown",125.40466904640198
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-81717.33785581589,"unknown",-81710.74777388573,-81703.42839741707,0.0,5.4425389766693115,417.755752325058,423.565066576004,446.6664297580719,452.17143988609314,462.38097405433655,"unknown","unknown",469.6846282482147,475.8493344783783,1661.539128780365,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",1667.8205215930939,"unknown",1673.4230470657349,1678.7311704158783,"unknown","unknown",1686.0046288967133,1691.5096364021301,1944.3508281707764,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",1950.3478479385376,"unknown","unknown",1955.7502279281616
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79868cd",-383.43160676956177,"unknown",-313.6960828304291,-244.8768002986908,0.0,5.396074056625366,7.81964373588562,13.52773642539978,15.775964260101318,22.628156900405884,299.7702443599701,"unknown","unknown",305.18675899505615,310.65019392967224,319.1759262084961,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",324.9975025653839,"unknown",331.74893403053284,334.11976408958435,"unknown","unknown",340.4627709388733,346.2846930027008,347.46483182907104,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",352.67268800735474,"unknown","unknown",358.58247208595276
"56ee475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"916c172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d9696dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eff7ebe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5d4fcbe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"965ec7c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"170bd80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e2738b5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a54533","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d874e84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65b2a4c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c28b1a9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"402df77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7384692","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90ccafb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0327530","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47dcadc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"233ee90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db844b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e4c0f9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fd01af9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77a5d2f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b92dee2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50ec1c5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11892fd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e65bef7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e5bb5fe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ba2fe6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fcf59af","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c94e42e",-22.353351831436157,"unknown",-17.03670597076416,-10.528218269348145,0.0,7.278590202331543,20.069902658462524,26.51388120651245,41.941099882125854,48.08899402618408,55.78356218338013,"unknown","unknown",61.42293906211853,68.24280095100403,71.77977728843689,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",78.65129780769348,"unknown",85.36132717132568,88.2479567527771,"unknown","unknown",94.6985993385315,100.0768370628357,103.44089198112488,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.59942650794983,"unknown","unknown",116.25635814666748
"ee4b6cd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f2291ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fb6ca94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5a20153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"516417f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a0eabe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b65802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2949a28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5e09b84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7da3821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2f5762a",-115615.96457862854,"unknown",-115609.25011587143,-115602.2108707428,0.0,6.664320945739746,10.076145648956299,17.01445722579956,30.135801076889038,36.034982204437256,39.80564785003662,"unknown","unknown",46.847344398498535,52.23903155326843,54.80447053909302,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",61.54929852485657,"unknown",67.64238858222961,78.027024269104,"unknown","unknown",83.86484742164612,90.95465445518494,99.726966381073,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",105.78505373001099,"unknown","unknown",112.87517380714417
"50a0fdd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b7cec81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf983ba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"a80b75d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b53b559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4a92bfd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90434eb","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37674f9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0dc300b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7b3c431",-176.2354772090912,"unknown",-169.50134181976318,-163.77841997146606,0.0,7.199225187301636,8.683156728744507,15.338916301727295,34.913918018341064,40.913073778152466,47.07476329803467,"unknown","unknown",53.08365225791931,59.471428871154785,61.12027072906494,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",68.32102870941162,"unknown",74.65889167785645,83.98172307014465,"unknown","unknown",89.92100739479065,96.57567977905273,103.1321382522583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.34570837020874,"unknown","unknown",116.53224492073059
"2457ed6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c4bba29",-16.816386222839355,"unknown",-10.47899866104126,-5.075331211090088,0.0,5.326232194900513,8.039526462554932,13.432883739471436,35.55878472328186,42.61484885215759,54.46568322181702,"unknown",60.839016914367676,"unknown",66.1390585899353,68.67634868621826,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",74.77400922775269,"unknown",81.59553575515747,84.39695286750793,90.87728643417358,"unknown","unknown",97.97978353500366,108.79298543930054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.0653555393219,"unknown","unknown",121.71807360649109
"2dffb9e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7a35b75",-6733.2858810424805,"unknown",-6726.569608926773,-6721.1044726371765,0.0,6.313441514968872,29.745616912841797,35.32152438163757,130.71143317222595,137.87193703651428,140.81521940231323,"unknown","unknown",148.02664375305176,155.23944902420044,167.67493796348572,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",173.69440507888794,"unknown",180.0021629333496,194.69395399093628,"unknown","unknown",202.08500695228577,208.21922254562378,210.36068439483643,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",217.0438675880432,"unknown","unknown",224.0618121623993
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0a30844","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43d0b63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"addf295","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-17218.556493759155,"unknown",-17212.156439065933,-17205.769155979156,0.0,5.643498659133911,9.128371715545654,15.552422761917114,34.11346125602722,39.86877512931824,43.435564041137695,"unknown","unknown",48.969149351119995,55.67586708068848,59.4251971244812,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",64.86798572540283,"unknown",70.93812417984009,74.23970055580139,"unknown","unknown",81.30414986610413,86.8991858959198,798.1341257095337,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",803.5934295654297,"unknown","unknown",810.1969153881073
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
