"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","yo_3","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","9A_otro","9B_otro","9C_otro","10_otro","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","cont_2","2_1","2_2"
"4e53c5c",-345.1820616722107,"unknown",-339.4678349494934,-332.9199426174164,0.0,6.505829095840454,12.266867399215698,19.439369678497314,50.13394045829773,56.63873887062073,61.52524971961975,"unknown",69.91310715675354,"unknown",76.76270198822021,81.79767155647278,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",87.86749696731567,"","unknown",93.90672445297241,99.28135347366333,104.64854454994202,"unknown","unknown",110.46665406227112,112.52598929405212,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",117.8437852859497,"unknown","unknown",124.86174821853638,"","",""
"ac6ecda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"c899adb",-43.051947832107544,"unknown",-35.90023326873779,-30.009116888046265,0.0,6.965879201889038,11.287140130996704,17.76863121986389,62.76559329032898,68.42928981781006,79.940096616745,"unknown","unknown",86.77896499633789,92.16352653503418,95.11299848556519,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",100.57153677940369,"","unknown",105.97356653213501,155.36997771263123,"unknown",161.49261856079102,"unknown",168.61196899414062,170.4747588634491,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",177.14699459075928,"unknown","unknown",182.43516778945923,"","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4",-4304.540009021759,"unknown",-4298.628777980804,-4292.735016345978,0.0,7.1203484535217285,11.260679006576538,16.820233821868896,38.033820390701294,44.57447910308838,48.59843111038208,"unknown","unknown",54.81856608390808,61.314828634262085,63.585957765579224,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",70.76081538200378,"","unknown",77.70800256729126,83.54054045677185,"unknown",90.24980211257935,"unknown",96.50477528572083,99.13576221466064,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",106.38607692718506,"unknown","unknown",112.34107804298401,"","",""
"ea8c0d6",-1239459.5540921688,"unknown",-1239453.9204576015,-1239446.7766759396,0.0,6.7170867919921875,9.785929441452026,15.168971300125122,45.01960468292236,52.18065929412842,58.5359148979187,"unknown","unknown",64.8389732837677,70.6981782913208,72.93788599967957,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",79.11099743843079,"","unknown",86.06264448165894,101.36495995521545,"unknown","unknown",107.94190859794617,114.20062708854675,116.24644947052002,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",121.78587055206299,"unknown","unknown",128.69225096702576,"",-723508.3627290726,-180802.4201900959
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-5024.266481399536,"unknown",-5018.698800086975,-5013.060908079147,0.0,7.240131616592407,10.809972286224365,17.54921317100525,39.38277530670166,45.30432868003845,55.32398748397827,"unknown",61.32816696166992,"unknown",67.38622283935547,70.91618633270264,"unknown","","unknown","unknown","unknown","unknown","","unknown","","unknown","unknown","unknown",77.68225336074829,"","unknown",83.16657090187073,93.23045015335083,"unknown","unknown",99.63502407073975,106.3337984085083,108.98927545547485,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",114.21838188171387,"unknown","unknown",120.10804843902588,"","",""
