"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","9A_yo","9B_yo","9C_yo","10_yo","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14"
"49db8c4",-395.9679079055786,-388.9905149936676,-382.3328866958618,-375.7606999874115,0.0,5.35173225402832,8.035908699035645,17.007608890533447,19.70903182029724,25.452866315841675,28.339959621429443,"unknown","unknown",35.370561361312866,41.529616832733154,45.1793646812439,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",50.655853271484375,"unknown",57.22814989089966,59.59877848625183,"unknown","unknown",65.15851950645447,71.53348851203918,73.33413362503052,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",79.29682040214539,"unknown","unknown",85.98160219192505
"ea8c0d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f",-2998.6234562397003,-2991.9318981170654,-2985.7686512470245,-2980.0218222141266,0.0,5.663729906082153,1863.2514202594757,1870.7756686210632,1892.81827378273,1898.718952178955,805259.0369670391,"unknown",805264.8406019211,"unknown",805271.1664805412,805273.0993759632,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",805279.4724068642,"unknown",805285.5059986115,805298.0793008804,"unknown",805303.8135676384,"unknown",805310.4487059116,805313.6678187847,805319.0793366432,805324.0767259598,"unknown","unknown",805329.7015037537,805336.4846324921,805338.7283308506,"unknown","unknown","unknown","unknown","unknown",805344.8981957436,"unknown",805351.6870977879
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
