"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1","7_otro_1"
"c899adb","unknown","unknown","unknown","unknown",0.0,"unknown",8.477850914001465,"unknown",60.66032290458679,"unknown",71.26610112190247,"unknown","unknown","unknown","unknown",85.91029691696167,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",114.27624273300171,"unknown","unknown","unknown","unknown",129.54332852363586,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"b8ec123","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07b298c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4c7f106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49db8c4","unknown","unknown","unknown","unknown",0.0,"unknown",11.627832651138306,"unknown",25425.59196138382,"unknown",25448.14564180374,"unknown","unknown","unknown","unknown",25463.918617725372,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","","unknown","unknown",25488.220132112503,"unknown","unknown","unknown","unknown",25504.058512449265,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","",""
"ea8c0d6",-642820.5944273472,"unknown",-642814.2090289593,-642807.1052868366,0.0,6.376871585845947,17.494333505630493,25.587835550308228,489786.2518417835,489791.8882203102,532468.1172204018,"unknown","unknown",532474.4519894123,532480.9535193443,532485.3472108841,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",532492.4416401386,"","unknown",532498.0335719585,532517.4834032059,"unknown",532524.2661986351,"unknown",532529.5096628666,532531.8822667599,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",532538.619250536,"unknown","unknown",532545.3278315067,513461.63703894615,"",""
"527d11d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7cf831f","unknown","unknown","unknown",-7427.74053812027,0.0,6.8779168128967285,12.049940347671509,19.988046169281006,208.48293781280518,214.04117465019226,220.72967505455017,"unknown",226.27784991264343,"unknown",232.93704390525818,239.66788268089294,245.0212640762329,253.99165844917297,"unknown","unknown",260.1884925365448,266.5204129219055,269.0903444290161,"unknown","unknown","unknown","unknown","unknown",275.55061626434326,"unknown",280.86028242111206,285.1277058124542,291.61824464797974,"unknown","unknown",297.02076292037964,299.89959955215454,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",306.09052062034607,"unknown","unknown",313.07663226127625,"","",""
"41f497c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8d5112a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f496964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68c3192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eb77de6",-1245893.7574944496,"unknown",-703099.5428843498,-702916.1307787895,0.0,5.563891410827637,11.754213333129883,19.98654079437256,45.35015058517456,50.612863302230835,60.685943603515625,"unknown",67.60705637931824,"unknown",73.08968949317932,75.31328272819519,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.64390802383423,"","unknown",88.78677248954773,96.95451927185059,"unknown",102.29369688034058,"unknown",108.38810420036316,110.1574718952179,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",116.08396744728088,"unknown","unknown",121.44133400917053,"","",""
"1288ac2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ce483d",-20692.422918319702,"unknown",-20686.47527694702,-20680.967084407806,0.0,6.102034568786621,22.996182203292847,31.89608097076416,47.79098892211914,54.38315963745117,57.450692653656006,"unknown",63.85161471366882,"unknown",70.9870388507843,73.10494375228882,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.03567957878113,"","unknown",86.35189867019653,91.0592474937439,"unknown",97.42140293121338,"unknown",102.94923543930054,105.1474289894104,110.87203764915466,117.83142161369324,"unknown","unknown",124.11249732971191,131.17181825637817,133.54689764976501,"unknown","unknown","unknown","unknown","unknown",140.08734607696533,"unknown",146.60936331748962,"","",""
