"","1","recurso","1b","2","cont","3","cont_1","4","dilema","5","yo_1","6A_yo","6B_yo","6C_yo","7_yo","v_yo_1","8_yo","yo_2","9A_yo","9B_yo","9C_yo","10_yo","v_yo_2","11_yo","12A_yo","12B_yo","12C_yo","13_yo_1","13_yo_2","13_yo_3","5_otro","otro_1","6A_otro","6B_otro","6C_otro","7_otro","v_otro_1","8_otro","otro_2","9A_otro","9B_otro","9C_otro","10_otro","v_otro_2","11_otro","12A_otro","12B_otro","12C_otro","13_otro_1","13_otro_2","13_otro_3","14","5_1","2_1","7_otro_1"
"7b3c431",-43507.38830327988,"unknown",-43500.400836229324,-43493.69153022766,0.0,6.955613613128662,13.808024168014526,21.527533769607544,48.20868515968323,55.272149085998535,61.818068742752075,"unknown","unknown",68.76926112174988,74.99965405464172,77.21377992630005,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",83.7959988117218,"","unknown",89.75944471359253,103.85597705841064,109.39846754074097,"unknown","unknown",114.53932523727417,117.52098941802979,124.67858839035034,135.402241230011,"unknown",142.07811737060547,"unknown",148.72650599479675,151.2260115146637,"unknown","unknown","unknown","unknown","unknown",158.16871690750122,"unknown",165.30513715744019,"","",""
"2457ed6",-3763.946189403534,"unknown",-3757.979396343231,-3752.320506334305,0.0,6.729331016540527,9.215344905853271,17.315874576568604,41.54346537590027,47.57714486122131,58.50011873245239,"unknown","unknown",65.16595888137817,70.71675848960876,73.37488055229187,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.56456565856934,"","unknown",84.84334325790405,90.2398509979248,"unknown","unknown",97.14847230911255,104.16285729408264,107.82395768165588,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",113.87915825843811,"unknown","unknown",119.27079343795776,"","",""
"c4bba29",-3157.699361562729,"unknown",-3151.8354370594025,-3146.3032269477844,0.0,5.470570087432861,11.63607144355774,18.777470111846924,50.15810036659241,56.37850379943848,61.394641637802124,67.31411361694336,"unknown","unknown",73.13861298561096,81.3611478805542,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",88.40810322761536,"","unknown",95.20642161369324,109.96095967292786,115.61587524414062,"unknown","unknown",121.91613221168518,166.2335546016693,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",173.27742719650269,"unknown","unknown",180.39811396598816,"","",""
"2dffb9e",-16.35278034210205,"unknown",-10.104518175125122,-4.770440340042114,0.0,6.338517189025879,11.046477556228638,17.983795642852783,35.16669940948486,41.966405391693115,48.05479383468628,"unknown",53.848031759262085,"unknown",59.46977710723877,62.455729722976685,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.340815782547,"","unknown",74.11329245567322,77.68751120567322,83.34340500831604,"unknown","unknown",89.5319550037384,91.35160374641418,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",98.17847776412964,"unknown","unknown",103.86147141456604,"","",""
"7a35b75",-3594.729490041733,"unknown",-3587.4900608062744,-3582.086370229721,0.0,5.3538055419921875,9.852006673812866,18.29849863052368,41.181694746017456,47.360251903533936,52.40484404563904,"unknown","unknown",59.48300361633301,64.80643630027771,69.76937937736511,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.67564797401428,"","unknown",81.97152495384216,89.86988878250122,"unknown","unknown",95.24691820144653,102.45018267631531,141.131272315979,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",147.53874802589417,"unknown","unknown",154.6071400642395,"","",""
"3883e37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"eacd6a3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d09321f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1116780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58b1c8e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"bf3dfcf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80e625f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9846ca8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cc02471",-65154.680383205414,"unknown",-65148.13984847069,-65141.39283847809,0.0,5.573097467422485,8.075275659561157,16.662240982055664,56.062687397003174,62.60989594459534,65.92912983894348,"unknown","unknown",72.99985957145691,79.50445318222046,81.57844543457031,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",87.08912920951843,"","unknown",93.86072421073914,106.91772556304932,"unknown","unknown",113.45442700386047,119.61668562889099,126.58937239646912,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.00520300865173,"unknown","unknown",141.61313390731812,"","",""
"0a30844",-569095.009668827,"unknown",-569088.3465666771,-569081.6500313282,0.0,6.985540866851807,10.816083669662476,19.793818473815918,39.71513748168945,46.617693185806274,53.66416668891907,"unknown","unknown",60.394782304763794,65.6437041759491,68.5930290222168,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.79160451889038,"","unknown",80.54050397872925,88.49435186386108,"unknown","unknown",95.3096776008606,101.49952912330627,103.24501872062683,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",110.05058932304382,"unknown","unknown",117.01317071914673,"",-90526.23610067368,""
"43d0b63",-129.09234809875488,"unknown",-123.2563943862915,-116.83486151695251,0.0,6.641283750534058,12.183274507522583,18.806140184402466,45.34223222732544,52.08822536468506,67.84823393821716,"unknown","unknown",73.80116367340088,79.49691271781921,84.05334758758545,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.92585301399231,"","unknown",96.34380006790161,101.10176801681519,"unknown",106.81391167640686,"unknown",112.85565185546875,115.30643010139465,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",121.77088356018066,"unknown","unknown",128.07366299629211,"","",""
"addf295",-11287474.634292841,"unknown",-11287469.28516388,-11287463.04586196,0.0,6.803313493728638,12.057512044906616,20.83256483078003,67.0359799861908,72.94849443435669,85.86531639099121,"unknown",93.1032178401947,"unknown",99.88766646385193,102.45943570137024,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.51337790489197,"","unknown",115.78405547142029,123.61740756034851,129.48671960830688,"unknown","unknown",135.65888285636902,138.31717157363892,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",143.67188668251038,"unknown","unknown",149.07847356796265,"",-38504.955199718475,""
"870dc60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1a8e45b",-8665.268419981003,"unknown",-8658.038788080215,-8651.161306142807,0.0,5.231570243835449,8.313183069229126,16.652968645095825,30.151692152023315,37.01491594314575,42.03141188621521,"unknown","unknown",48.677886724472046,55.85175681114197,486.6992950439453,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",492.79582691192627,"","unknown",499.289297580719,509.3830523490906,"unknown",516.4941565990448,"unknown",523.3225464820862,526.7461967468262,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",534.2714343070984,"unknown","unknown",540.9633409976959,"","",""
"0e42357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5f2a1aa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87b3434",-2416942.388639927,"unknown",-2416935.888097048,-2416929.974225998,0.0,6.0249292850494385,10.966652631759644,18.976433515548706,35.073570013046265,41.08519124984741,44.63502788543701,"unknown","unknown",50.102325439453125,55.49437999725342,57.68111968040466,63.99924039840698,66.3566243648529,72.94302678108215,"unknown","unknown",79.86127209663391,80.97384285926819,"unknown","unknown","unknown","unknown","unknown",86.79499197006226,"unknown",92.39126348495483,603271.6362953186,603277.9439647198,"unknown","unknown",603284.2426629066,603287.3728144169,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",603293.801653862,"unknown","unknown",603300.8287189007,"","",""
"bd305b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4b70ed3",-43.29898643493652,"unknown",-37.60587501525879,-30.80826210975647,0.0,6.016004800796509,10.928184986114502,19.25675058364868,41.35992693901062,47.067675828933716,52.52818036079407,"unknown","unknown",59.092649698257446,64.34262704849243,67.44264030456543,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",73.03140902519226,"","unknown",78.38177633285522,82.89880561828613,"unknown","unknown",88.93330931663513,95.66186308860779,98.03453421592712,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",104.98714828491211,"unknown","unknown",110.88460373878479,"","",""
"8ec15bc",-88.19582056999207,"unknown",-82.11265587806702,-76.71470642089844,0.0,5.897737979888916,11.274829149246216,19.507167100906372,42.271390199661255,49.07102870941162,81.50462126731873,87.05994534492493,"unknown","unknown",93.84945774078369,96.36947846412659,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",103.81412482261658,"","unknown",110.86841416358948,120.68337416648865,126.53603744506836,"unknown","unknown",133.9695246219635,135.85561847686768,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",142.77768993377686,"unknown","unknown",148.10354018211365,"","",""
"6c8906b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e51496b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"01baaf6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e8a0b7a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"dae9b13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6c3f0f6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4828266","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f77294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6f1360e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1e17723","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"614fc3f",-332581.5037343502,"unknown",-332574.830496788,-332568.13381409645,0.0,6.125305414199829,9.816710472106934,16.435287475585938,50.433720111846924,56.60937547683716,63.86839199066162,"unknown","unknown",70.50486373901367,77.21192932128906,79.61643123626709,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.54133296012878,"","unknown",92.35058355331421,102.70709466934204,"unknown",109.66849088668823,"unknown",115.22669696807861,117.34710693359375,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.54961705207825,"unknown","unknown",129.4520227909088,"","",""
"a300755",-186596.6278178692,"unknown",-186586.05657482147,-186574.6033062935,0.0,6.735855579376221,9.398478507995605,18.158376216888428,31.18108034133911,37.42051982879639,42.99321103096008,"unknown","unknown",49.19030427932739,56.023688077926636,58.20530700683594,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",63.96911668777466,"","unknown",70.85635876655579,77.48476958274841,"unknown","unknown",83.33692860603333,88.86407351493835,90.78572845458984,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",96.54095435142517,"unknown","unknown",103.32352948188782,"","",""
"802d704","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"e892cd4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b06ee97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"758fff8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ac42d69",-26.999669075012207,"unknown",-20.737057209014893,-13.730525255203247,0.0,5.607900857925415,9.641875505447388,18.158995866775513,857.234415769577,864.4115700721741,867.6871409416199,"unknown","unknown",874.8167150020599,880.7499623298645,882.3033676147461,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",888.8114767074585,"","unknown",894.4051718711853,898.3909549713135,"unknown","unknown",903.6095900535583,910.2489621639252,911.647269487381,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",918.0761547088623,"unknown","unknown",924.1387128829956,"","",""
"7bb45d3",-18295.616864442825,"unknown",-18290.337739944458,-18283.262085199356,0.0,6.251794815063477,11.15012812614441,18.98942732810974,42.783984422683716,49.221667766571045,55.38839149475098,61.56999659538269,"unknown","unknown",68.44369745254517,70.25836324691772,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",77.32314944267273,"","unknown",83.06915616989136,89.04675507545471,95.35093402862549,"unknown","unknown",101.09993147850037,102.95064043998718,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",108.63884043693542,"unknown","unknown",114.59535026550293,"","",""
"7622483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1f16f74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"730747e",-31168.061961889267,"unknown",-31160.802587032318,-31154.66827917099,0.0,6.18377423286438,10.474724292755127,18.883403778076172,35.89870858192444,42.947580337524414,48.53215003013611,"unknown","unknown",55.196263551712036,61.9301962852478,63.539650678634644,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.86700654029846,"","unknown",76.51706838607788,81.9982807636261,"unknown","unknown",87.57247424125671,94.01338768005371,26500.69539666176,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",26507.64977145195,"unknown","unknown",26513.814413547516,"","",""
"07ff49d",-4012.1720564365387,"unknown",-4005.1106309890747,-3999.1813628673553,0.0,6.700244426727295,31.699638843536377,38.69325566291809,56.04415202140808,61.55846858024597,64.42855978012085,"unknown","unknown",71.4258918762207,77.16745781898499,78.96535515785217,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.6293466091156,"","unknown",91.62493133544922,95.06125855445862,"unknown","unknown",101.81365966796875,107.58275365829468,109.46572017669678,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",115.62058234214783,"unknown","unknown",121.43297386169434,"","",""
"22fdb61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"db046f2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73c3f48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ee852",-27022.96219086647,"unknown",-27016.865021944046,-27009.856076478958,0.0,6.507494688034058,20.7662296295166,28.992639303207397,44.970598459243774,50.906928300857544,54.80440855026245,"unknown","unknown",61.78870868682861,68.38686108589172,73.1888678073883,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",78.46639728546143,"","unknown",85.23859596252441,90.53461360931396,"unknown","unknown",96.51502060890198,103.05115461349487,106.05151200294495,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",112.31877183914185,"unknown","unknown",118.79853534698486,"","",""
"ad2fc5b",-4960.787078619003,"unknown",-4953.770861387253,-4947.625680446625,0.0,6.1384804248809814,10.792245388031006,18.477437734603882,37.47619938850403,44.12314534187317,66.35044193267822,"unknown",73.54285645484924,"unknown",80.03528451919556,83.18199253082275,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",89.325110912323,"","unknown",104.1141836643219,112.57184076309204,119.59993696212769,"unknown","unknown",125.24706292152405,127.84925770759583,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",123.15604519844055,"unknown","unknown",134.8116283416748,"","",""
"d318264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741ef32",-3940.7509050369263,"unknown",-3934.8389480113983,-3927.946643590927,0.0,5.435921907424927,9.36385989189148,16.225698947906494,34.34543299674988,41.46143889427185,47.35032892227173,"unknown","unknown",54.223764181137085,60.66125440597534,62.69429302215576,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",68.74710845947266,"","unknown",75.55626583099365,79.14714622497559,"unknown","unknown",85.22253227233887,92.06429433822632,94.15847897529602,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",101.04047870635986,"unknown","unknown",106.85924911499023,"","",""
"b75259d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"b67425b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"446ad6c",-3292.1982345581055,"unknown",-3285.4050924777985,-3279.956731557846,0.0,6.434883117675781,8.675710678100586,15.86550784111023,49.269221782684326,55.970178842544556,58.781110763549805,"unknown","unknown",65.32297730445862,71.36405324935913,73.4844982624054,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",80.39044547080994,"","unknown",86.44967937469482,111.37858748435974,118.62312412261963,"unknown","unknown",125.21607661247253,126.87593650817871,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.12366461753845,"unknown","unknown",140.09349083900452,"","",""
"70405ea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1117a63",-5897.149894952774,"unknown",-5891.393361091614,-5884.841298341751,0.0,6.885171413421631,11.394733190536499,18.92536187171936,45.45339775085449,50.79835295677185,65.0279426574707,"unknown",71.81297469139099,"unknown",78.11585807800293,80.69467186927795,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.48731851577759,"","unknown",93.26206088066101,112.80490279197693,118.72117042541504,"unknown","unknown",124.38782787322998,126.57005858421326,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",133.0890326499939,"unknown","unknown",139.12907147407532,"","",""
"537189f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17b5a6e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"d3e37eb",-30579.472739696503,"unknown",-30574.06958436966,-30568.002030849457,0.0,6.759172439575195,10.711706638336182,18.098052740097046,47.971163272857666,54.920737743377686,62.75956916809082,"unknown","unknown",69.4247100353241,74.99560713768005,77.12687039375305,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",82.34387922286987,"","unknown",89.04822492599487,97.66702961921692,"unknown","unknown",103.35045862197876,109.06723356246948,110.49697256088257,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.2007212638855,"unknown","unknown",122.83598136901855,"","",""
"2ee7f92",-1766038.8420991898,"unknown",-1766032.3924071789,-1766026.7132024765,0.0,7.043283462524414,8.633602142333984,15.56564998626709,27.414090156555176,33.06152153015137,35.31448459625244,"unknown","unknown",40.81308460235596,46.86213135719299,49.04999923706055,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",55.210466146469116,"","unknown",62.062156200408936,64.68051338195801,"unknown","unknown",71.34548020362854,76.6325888633728,79.01946544647217,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",85.88933253288269,"unknown","unknown",92.2709755897522,"","",""
"89d63ed",-1242.569813489914,"unknown",-1236.9482398033142,-1231.3857667446136,0.0,7.117547512054443,39.78147649765015,47.556886196136475,60.063133239746094,67.18802237510681,74.55210018157959,"unknown","unknown",80.14273977279663,86.29906606674194,88.76496481895447,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.97830772399902,"","unknown",100.43922924995422,107.40174150466919,"unknown",113.30245542526245,"unknown",118.86743140220642,120.72492551803589,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",127.2015163898468,"unknown","unknown",134.3335952758789,"","",""
"c0a644e",-86763.12881970406,"unknown",-86756.16378068924,-86750.73752331734,0.0,6.646668910980225,9.908427476882935,16.790108919143677,30.505481481552124,37.78272604942322,40.14427852630615,"unknown","unknown",45.83618426322937,52.67952561378479,54.460901737213135,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",61.12214636802673,"","unknown",67.35630631446838,72.39596056938171,"unknown","unknown",79.23985409736633,85.05186724662781,87.36793684959412,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",93.34464454650879,"unknown","unknown",99.69336271286011,"","",""
"80f558b",-125050.47457242012,"unknown",-125044.39574742317,-125038.51546812057,0.0,5.992066144943237,10.2645103931427,17.123064041137695,36.455562114715576,42.856916427612305,47.38269019126892,"unknown","unknown",53.81171703338623,61.116063833236694,63.54366374015808,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.27936935424805,"","unknown",76.38319373130798,87.60732960700989,94.32993602752686,"unknown","unknown",101.13014388084412,103.60288882255554,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.41064953804016,"unknown","unknown",114.86869716644287,"","",""
"9ad2396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87e4f18",-5951.402007102966,"unknown",-5945.830241680145,-5939.719147443771,0.0,6.3231587409973145,8.940509796142578,15.794119358062744,37.085121870040894,42.768986225128174,49.44467115402222,"unknown","unknown",55.241074085235596,61.38839411735535,63.55037331581116,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",69.43549990653992,"","unknown",75.99782586097717,83.82819128036499,"unknown",90.87727665901184,"unknown",97.38972663879395,101.52432513237,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",107.98126745223999,"unknown","unknown",113.9344162940979,"","",""
"0186834",-271480.82927417755,"unknown",-271474.5154969692,-271468.91390132904,0.0,5.431723117828369,8.58317232131958,15.848939180374146,92.26017141342163,99.46427273750305,109.84743809700012,"unknown","unknown",115.18753385543823,121.0777850151062,123.6296648979187,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",130.22190165519714,"","unknown",136.26143503189087,151.97574830055237,"unknown",157.49679255485535,"unknown",164.66010403633118,167.49229645729065,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",173.05972456932068,"unknown","unknown",180.0194866657257,"","",""
"0355f6d",-182688.95501208305,"unknown",-182683.04940199852,-182676.0590648651,0.0,5.491877317428589,10.6022047996521,18.014720678329468,41.786155462265015,48.54446220397949,54.25362491607666,"unknown","unknown",61.36886715888977,66.86362171173096,68.93018817901611,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",75.06622099876404,"","unknown",80.96206879615784,89.50201320648193,"unknown","unknown",95.7700846195221,100.98028755187988,103.97706651687622,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",109.5114495754242,"unknown","unknown",116.36195158958435,"","",""
"fa6a8b8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44167d5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145d339",-1906.8253281116486,"unknown",-1901.0702376365662,-1895.6110079288483,0.0,6.053955316543579,13.070191383361816,21.274266481399536,49.222553730010986,55.06414747238159,64.23665642738342,"unknown","unknown",70.34119415283203,77.2833206653595,79.64556169509888,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",86.5410897731781,"","unknown",93.34836292266846,98.74770402908325,"unknown",104.54105281829834,"unknown",109.7242739200592,112.04436326026917,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",117.62180495262146,"unknown","unknown",123.97376322746277,"","",""
"e96f42c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"f382ec0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"962a7dd",-120.42266654968262,"unknown",-113.23747205734253,-106.7891092300415,0.0,6.540989875793457,10.923212766647339,17.67960476875305,9400.328829288483,9405.909148454666,9419.183623075485,"unknown","unknown",9426.417442321777,9432.997202396393,9437.762021303177,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",9443.622288942337,"","unknown",9450.07155585289,9454.221226453781,9460.825718164444,"unknown","unknown",9466.557685613632,9472.01738524437,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",9477.85194325447,"unknown","unknown",9484.508678913116,"","",""
"5c97513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"acc6118",-10375.445346593857,"unknown",-10369.149410009384,-10363.504842758179,0.0,9.01912236213684,11.046627044677734,23.308223962783813,39.37780952453613,50.28046441078186,57.565510511398315,"unknown",64.7805233001709,"unknown",72.04150485992432,75.29863262176514,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",81.8386709690094,"","unknown",87.94577741622925,94.90012907981873,"unknown",100.73632979393005,"unknown",109.96225595474243,112.85365557670593,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",120.02953577041626,"unknown","unknown",126.02210307121277,"","",""
"d33371d",-2108862.309245825,"unknown",-2108856.2201178074,-2108850.449326277,0.0,6.459272623062134,12.634760856628418,21.241130113601685,84.61691427230835,90.2701678276062,137.64351439476013,"unknown","unknown",143.29170417785645,148.65809106826782,151.55977606773376,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",157.1325969696045,"","unknown",163.8286328315735,189.14488816261292,"unknown",195.57097911834717,"unknown",202.51386904716492,204.6019835472107,"unknown","","unknown","unknown","unknown","unknown","","unknown","unknown","unknown","unknown",210.75878858566284,"unknown","unknown",217.35779285430908,"","",""
"78603ec","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
