"","x_1","x_2","x_final"
"9e9a81e","B","","B"
"90434eb","A","","A"
"b11e6db","B","","B"
"402df77","B","","B"
"b1b2943","","",""
"2feab0e","B","","B"
"0f91d63","B","","B"
"9ad2396","B","","B"
"ae58bf1","B","","B"
"ffa62f5","B","","B"
"a289cae","B","","B"
"2b5182a","","",""
"6dcaf4a","A","","A"
"0186834","B","","B"
"233ee90","B","","B"
"6e93efd","B","","B"
"b901eca","","",""
"c94e42e","B","","B"
"e96f42c","B","","B"
"7a35b75","B","","B"
"cb521fc","B","","B"
"0a19c7c","","",""
"f42c435","B","","B"
"f70e5cf","","",""
"1db8420","B","","B"
"01baaf6","B","","B"
"c3db77a","B","","B"
"41617bd","B","","B"
"0fa3d65","","",""
"1df700a","B","","B"
"50a0fdd","B","","B"
"c98ae69","","",""
"af72486","B","","B"
"0eb7fba","B","","B"
"1288ac2","B","","B"
"802d704","A","","A"
"97879de","B","","B"
"6568ea1","B","","B"
"2cd7961","","",""
"ca96db9","","",""
"c1a9909","B","","B"
"acc6118","B","","B"
"2f5762a","B","","B"
"399b994","B","","B"
"b16e558","B","","B"
"4c072d3","B","","B"
"1e88a68","A","","A"
"62447b9","B","","B"
"5455b1d","B","","B"
"220d07a","B","","B"
"8a2ad40","","",""
"5c97513","B","","B"
"bf71578","B","","B"
"f799335","B","","B"
"ef7d623","A","","A"
"6412561","","",""
"48ce715","","",""
"4aabc57","","",""
"daa0e98","B","","B"
"f8a30f5","","",""
"87007b4","B","","B"
"5e09b84","B","","B"
"48ba4ef","","",""
"2541155","B","","B"
"6289e6c","B","","B"
"db046f2","B","A","A"
"d2678bc","","",""
"741ef32","B","","B"
"7b3c431","B","","B"
"bd650e8","B","","B"
"79da67a","B","","B"
"52d61f6","B","","B"
"d91bf84","B","","B"
"a7a34c0","","",""
"c17e360","B","","B"
"01cf486","B","","B"
"44167d5","A","","A"
"d2b514b","","",""
"e0d7dcb","A","","A"
"a921a9b","","",""
"4c7f106","A","B","B"
"6c3f0f6","B","","B"
"a123713","B","","B"
"25f4734","B","","B"
"e6de912","A","","A"
"bea3da5","","",""
"03fd6a4","","",""
"c9fe84a","","",""
"5b603bb","B","","B"
"64581b1","","",""
"b3d1f62","","",""
"64eef60","B","","B"
"06600a3","B","","B"
"89d63ed","B","","B"
"4ac71cf","B","","B"
"048c402","","",""
"56dc5c6","","",""
"05ed313","A","","A"
"969fd46","","",""
"11acd26","","",""
"844ab34","B","","B"
"0327530","B","","B"
"088d8b4","A","","A"
"a300755","B","","B"
"f0a4194","B","","B"
"6eb7840","B","","B"
"07b298c","B","","B"
"b164bf7","B","","B"
"aa9ac00","A","","A"
"43b56f8","B","","B"
"3b7f267","B","","B"
"07e810f","B","","B"
"1fdc0e6","A","","A"
"528d0fe","A","","A"
"8f8a090","","",""
"76bbc0d","B","","B"
"5eb33a0","","",""
"4af2fee","B","","B"
"ece9ce7","A","","A"
"ea052b5","B","","B"
"1b88f70","A","","A"
"8c7b6a3","B","","B"
"7779cac","A","","A"
"8c74aa5","B","","B"
"11593e6","B","","B"
"7bb45d3","B","","B"
"fcf59af","B","","B"
"a2d2ca9","B","","B"
"9d1768d","B","","B"
"c98a1d1","","",""
"dac5780","","",""
"c504abb","","",""
"6855e68","A","","A"
"f2a5eb7","B","","B"
"4f9d5d5","","",""
"804c32f","B","","B"
"b92ee81","B","","B"
"905df17","","",""
"c55c183","B","","B"
"51bed37","B","","B"
"8d5112a","B","","B"
"c27d92c","","",""
"ea6a84c","A","","A"
"6172c09","B","","B"
"49c80c9","B","","B"
"ac6f3f6","A","","A"
"ff125d4","B","","B"
"a54cf83","B","","B"
"eff7ebe","A","","A"
"2457ed6","B","","B"
"61d9d14","B","","B"
"023b7ed","","",""
"12638ee","B","","B"
"813d55b","A","","A"
"f1132e1","","",""
"b456b75","","",""
"2dffb9e","B","","B"
"0d45844","B","","B"
"938fe7a","","",""
"bce1b27","A","","A"
"60a02cd","B","","B"
"9d97673","B","","B"
"dd64cdc","B","","B"
"15aab55","B","","B"
"e513259","A","","A"
"529d907","","",""
"4c8a5bc","B","","B"
"ddd1219","B","","B"
"2a968a7","","",""
"80f558b","B","","B"
"ad2fc5b","B","","B"
"7a54533","A","","A"
"051761f","A","","A"
